times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
3270.0,368.5,429.7,189.3,46.9,0.0,0.0
3300.0,383.2,439.0,190.7,46.8,0.0,0.0
3330.0,391.6,451.2,191.9,48.7,0.0,0.0
3360.0,400.4,459.0,199.7,48.0,0.0,0.0
3390.0,403.0,472.3,203.6,50.8,0.0,0.0
3420.0,411.9,483.5,207.5,52.0,0.0,0.0
3450.0,418.3,498.2,211.7,51.9,0.0,0.0
3480.0,430.0,507.5,216.9,52.9,0.0,0.0
3510.0,443.0,516.5,220.8,54.8,0.0,0.0
3540.0,457.0,528.9,224.6,53.7,0.0,0.0
3570.0,465.9,543.9,228.7,54.1,0.0,0.0
3600.0,478.3,557.6,232.6,52.9,0.0,0.0
