times, Ki67_negative_absolute_error, Ki67_positive_premitotic_absolute_error, Ki67_positive_postmitotic_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.01027317,0.08530840,0.07503522
60.00000000,0.02263048,0.15040588,0.12777541
90.00000000,0.04747377,0.22274443,0.17527066
120.00000000,0.07553848,0.29043581,0.21489733
150.00000000,0.10768716,0.36080634,0.25311919
180.00000000,0.13186201,0.42757873,0.29571672
210.00000000,0.17231706,0.47635006,0.30403301
240.00000000,0.20527613,0.51630311,0.31102698
270.00000000,0.24925523,0.57613475,0.32687952
300.00000000,0.27892768,0.62427613,0.34534845
330.00000000,0.29360418,0.65065972,0.35705555
360.00000000,0.30997269,0.67628171,0.36630905
390.00000000,0.32915839,0.71153607,0.38237770
420.00000000,0.35016217,0.73910987,0.38894772
450.00000000,0.35877011,0.74611281,0.39055272
480.00000000,0.36033128,0.76626962,0.40914836
510.00000000,0.36819207,0.79007140,0.42508935
540.00000000,0.38178860,0.81419292,0.43561434
570.00000000,0.39390479,0.84024915,0.44955438
600.00000000,0.40476382,0.87453770,0.47298391
630.00000000,0.41976571,0.89582805,0.47927236
660.00000000,0.42371936,0.91984574,0.49933640
690.00000000,0.43150356,0.94010114,0.51180760
720.00000000,0.45039885,0.97497553,0.52778670
750.00000000,0.46760435,0.99081101,0.52915672
780.00000000,0.47416458,0.99519972,0.53132823
810.00000000,0.48078609,1.00141490,0.53173456
840.00000000,0.49310688,1.01343313,0.53203712
870.00000000,0.49499933,1.03161984,0.54833138
900.00000000,0.49919603,1.05199300,0.56450784
930.00000000,0.51115795,1.07439820,0.57495111
960.00000000,0.51779173,1.08774868,0.58166781
990.00000000,0.52290362,1.09286162,0.58166886
1020.00000000,0.53164344,1.10657577,0.58664321
1050.00000000,0.54317568,1.13298377,0.60151896
1080.00000000,0.55727522,1.16093235,0.61536800
1110.00000000,0.57259911,1.17956910,0.61868086
1140.00000000,0.59290071,1.18716159,0.63138998
1170.00000000,0.61350828,1.20514263,0.63401649
1200.00000000,0.63633269,1.22460192,0.63738161
1230.00000000,0.65473131,1.24196689,0.63841525
1260.00000000,0.67725424,1.27282675,0.64675217
1290.00000000,0.69514936,1.29592748,0.65195778
1320.00000000,0.70275520,1.30408624,0.65251072
1350.00000000,0.71416138,1.31326777,0.65473537
1380.00000000,0.71688259,1.32661887,0.66536526
1410.00000000,0.72466673,1.33998838,0.68651890
1440.00000000,0.72588814,1.35759548,0.70290458
1470.00000000,0.72599943,1.36772644,0.71314682
1500.00000000,0.73069087,1.38429579,0.72502473
1530.00000000,0.74624867,1.40973628,0.73490742
1560.00000000,0.75234951,1.42789757,0.74696787
1590.00000000,0.75567860,1.44410307,0.76650246
1620.00000000,0.75813581,1.45318037,0.77803698
1650.00000000,0.76490681,1.46834550,0.78643110
1680.00000000,0.77713212,1.48247071,0.78833100
1710.00000000,0.78164652,1.49661237,0.79795824
1740.00000000,0.79196982,1.52194240,0.81296497
1770.00000000,0.80490751,1.54052252,0.81860740
1800.00000000,0.81317950,1.56867779,0.83849068
1830.00000000,0.82440240,1.59140561,0.84999561
1860.00000000,0.84410146,1.61373516,0.85262610
1890.00000000,0.86089571,1.62808037,0.85507514
1920.00000000,0.87242641,1.63154625,0.86313996
1950.00000000,0.88541055,1.63397560,0.87855345
1980.00000000,0.88695801,1.64968391,0.89580921
2010.00000000,0.88830331,1.66369440,0.90847439
2040.00000000,0.89749197,1.67137303,0.92534168
2070.00000000,0.91055699,1.67320882,0.94024248
2100.00000000,0.91948620,1.67893499,0.95489786
2130.00000000,0.92517482,1.68420792,0.96585943
2160.00000000,0.92630092,1.68516085,0.96603261
2190.00000000,0.93492625,1.68568969,0.97518679
2220.00000000,0.94120373,1.69060747,0.98638205
2250.00000000,0.94829178,1.69778943,0.98647596
2280.00000000,0.96134494,1.71265838,0.98829175
2310.00000000,0.96409196,1.73241632,1.00530267
2340.00000000,0.97308023,1.75133972,1.01523780
2370.00000000,0.98173097,1.75968529,1.01554297
2400.00000000,0.98493384,1.76291726,1.02197781
2430.00000000,0.98591875,1.76315061,1.02319608
2460.00000000,0.98921103,1.76551081,1.02884855
2490.00000000,0.99917708,1.77162954,1.03269588
2520.00000000,1.01212609,1.78944691,1.03756425
2550.00000000,1.02033353,1.80247230,1.04238220
2580.00000000,1.02144227,1.80892461,1.04772576
2610.00000000,1.02708348,1.81205334,1.05649570
2640.00000000,1.02898185,1.81745601,1.06379675
2670.00000000,1.03617900,1.82511319,1.07865107
2700.00000000,1.03676147,1.83482927,1.08778468
2730.00000000,1.04846687,1.84481923,1.08950012
2760.00000000,1.06333651,1.85654517,1.09264382
2790.00000000,1.07463065,1.86948925,1.09429375
2820.00000000,1.08381952,1.87678835,1.09618352
2850.00000000,1.08887551,1.88884758,1.10318676
2880.00000000,1.09589682,1.90623220,1.11355007
2910.00000000,1.10675356,1.91389679,1.11674225
2940.00000000,1.11294033,1.91718660,1.11963921
2970.00000000,1.12378581,1.92083806,1.12683321
3000.00000000,1.13983013,1.92299807,1.14071753
3030.00000000,1.14872932,1.92347219,1.15009084
3060.00000000,1.16153375,1.92899938,1.15736808
3090.00000000,1.17085931,1.93441276,1.16128027
3120.00000000,1.18086147,1.94475605,1.16162140
3150.00000000,1.18909447,1.95298870,1.16162175
3180.00000000,1.19463796,1.95451460,1.16869114
3210.00000000,1.20136678,1.95624342,1.17714879
3240.00000000,1.20726938,1.95748776,1.18429574
3270.00000000,1.21262601,1.95913349,1.19129810
3300.00000000,1.21304480,1.96062899,1.19321239
3330.00000000,1.21702967,1.96134187,1.19648438
3360.00000000,1.21952790,1.96305609,1.19726839
3390.00000000,1.22287158,1.96343234,1.20098833
3420.00000000,1.22343959,1.96751345,1.20563744
3450.00000000,1.23228305,1.97252871,1.20946563
3480.00000000,1.23833991,1.97390448,1.21689825
3510.00000000,1.23880103,1.97773200,1.22026466
3540.00000000,1.24516407,1.97984166,1.22451803
3570.00000000,1.25392660,1.98707934,1.22604288
3600.00000000,1.26297421,1.99131111,1.23085873
