times, Ki67_negative_absolute_error, Ki67_positive_premitotic_absolute_error, Ki67_positive_postmitotic_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00336978,0.09783365,0.10120342
60.00000000,0.02266975,0.21203315,0.19610297
90.00000000,0.06955899,0.31841049,0.25559106
120.00000000,0.12483191,0.39695215,0.27885980
150.00000000,0.17955659,0.46909040,0.29627337
180.00000000,0.22988898,0.52326323,0.30011381
210.00000000,0.30749786,0.58011345,0.32087248
240.00000000,0.37954549,0.62787369,0.34515987
270.00000000,0.45153419,0.69077933,0.35424293
300.00000000,0.51866335,0.72227627,0.38987515
330.00000000,0.57816063,0.74659214,0.42505655
360.00000000,0.63617907,0.75839518,0.47127196
390.00000000,0.68110579,0.76896626,0.52676976
420.00000000,0.71177648,0.78541877,0.57389296
450.00000000,0.73630128,0.81279556,0.62579454
480.00000000,0.74219243,0.85257421,0.67146433
510.00000000,0.74303230,0.90101225,0.72074225
540.00000000,0.75608057,0.95558371,0.76226544
570.00000000,0.77212070,0.99902004,0.78966165
600.00000000,0.77836166,1.02752211,0.81192276
630.00000000,0.79245533,1.03579229,0.81774626
660.00000000,0.80166200,1.04201228,0.82073293
690.00000000,0.81936516,1.04565407,0.84207789
720.00000000,0.84224145,1.05322816,0.85738009
750.00000000,0.87235619,1.05406176,0.88666123
780.00000000,0.87399147,1.06216728,0.89640203
810.00000000,0.88225762,1.07019808,0.89663737
840.00000000,0.88760051,1.07672263,0.90850479
870.00000000,0.90064392,1.08975876,0.90851209
900.00000000,0.90165893,1.11129778,0.93106613
930.00000000,0.92247589,1.15123717,0.95018856
960.00000000,0.95252810,1.18608836,0.95498754
990.00000000,0.97579186,1.20143964,0.96290002
1020.00000000,1.00035934,1.22293391,0.96597324
1050.00000000,1.02040171,1.25134260,0.97433955
1080.00000000,1.04543811,1.27210649,0.97861206
1110.00000000,1.06036186,1.29099381,0.98257563
1140.00000000,1.07275635,1.30363339,0.98282072
1170.00000000,1.08130111,1.31393322,0.98457579
1200.00000000,1.08513510,1.31491040,0.98743260
1230.00000000,1.09973321,1.33384352,0.99176763
1260.00000000,1.11443173,1.33507962,1.00523006
1290.00000000,1.11571042,1.34367597,1.01254773
1320.00000000,1.11848447,1.34776422,1.01941002
1350.00000000,1.12267016,1.35319980,1.02903129
1380.00000000,1.13122097,1.35692853,1.04131082
1410.00000000,1.13266144,1.36183764,1.04477947
1440.00000000,1.14135009,1.36369801,1.05160774
1470.00000000,1.14649602,1.36527027,1.05832593
1500.00000000,1.15881688,1.36814003,1.06777704
1530.00000000,1.16451119,1.36923098,1.07238040
1560.00000000,1.16573546,1.37443298,1.07635812
1590.00000000,1.16942541,1.38503475,1.08326995
1620.00000000,1.17572323,1.40205632,1.09399370
1650.00000000,1.18252508,1.42216406,1.10729958
1680.00000000,1.18438811,1.43346466,1.11673715
1710.00000000,1.19835682,1.45205075,1.12135453
1740.00000000,1.21362512,1.48354153,1.13757699
1770.00000000,1.22639594,1.50274921,1.14401385
1800.00000000,1.24814776,1.52164096,1.14687391
1830.00000000,1.26093377,1.52999146,1.15130942
1860.00000000,1.27401605,1.53931207,1.15507108
1890.00000000,1.28608911,1.54168659,1.16951867
1920.00000000,1.31167941,1.54626698,1.19052860
1950.00000000,1.33994053,1.54918259,1.21587411
1980.00000000,1.36186984,1.55378544,1.24240628
