times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
3150.0,2917.9,3420.5,1477.6,347.5,183.1,0.0
3180.0,2974.7,3500.1,1501.1,353.7,187.8,0.0
3210.0,3026.5,3578.5,1531.0,361.1,190.1,0.0
3240.0,3098.0,3651.6,1558.5,366.0,192.5,0.0
3270.0,3150.3,3727.6,1592.3,378.2,196.6,0.0
3300.0,3211.9,3806.2,1624.9,383.1,201.0,0.0
3330.0,3259.3,3897.6,1652.4,387.7,207.6,0.0
3360.0,3312.5,3979.5,1687.8,397.2,213.2,0.0
3390.0,3371.1,4060.6,1721.3,412.7,214.8,0.0
3420.0,3450.7,4142.5,1745.0,424.0,219.1,0.0
3450.0,3520.1,4224.6,1778.1,436.5,220.8,0.0
3480.0,3598.3,4308.8,1823.6,432.6,225.0,0.0
3510.0,3650.7,4391.4,1869.5,447.9,230.8,0.0
3540.0,3741.0,4471.5,1910.8,449.7,235.7,0.0
3570.0,3790.8,4561.6,1942.5,475.6,243.5,0.0
3600.0,3885.2,4644.8,1979.1,481.0,250.6,0.0
