Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	2837.0325949724647	407.72152878465886	411.1233979435374	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	444.0668058774165	0.0	1.0
2	6456.5237496912205	559.2237502389717	597.7422687574901	151.5022214543128	186.61887081395275	1.2638938865003574e-33	2.9938297054707275e-41	1.2638938865003574e-33	2.9938297054707275e-41	7.912056626596534e+32	3.3402033461444576e+40	668.2595815172446	224.19277563982803	2.075665316595427e-49
3	5668.8908746550915	545.4819445056237	586.4819445056237	137.76041572096483	175.3585465620863	1.2181641488025254e-30	8.344021928279082e-39	1.2181641488025254e-30	8.344021928279082e-39	8.209074294158269e+29	1.1984628139708708e+38	657.3135663294933	213.24676045207673	4.943725242493449e-47
