times, G0G1_phase_csse, S_phase_csse, G2M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00027233,0.00000204,0.00032152
60.00000000,0.00076354,0.00005736,0.00119773
90.00000000,0.00106444,0.00033575,0.00235588
120.00000000,0.00133184,0.00055190,0.00332025
150.00000000,0.00147179,0.00064403,0.00332523
180.00000000,0.00153747,0.00064432,0.00338252
210.00000000,0.00168484,0.00144884,0.00364575
240.00000000,0.00180957,0.00186929,0.00373292
270.00000000,0.00209592,0.00204234,0.00374711
300.00000000,0.00347987,0.00240071,0.00408093
330.00000000,0.00414051,0.00240101,0.00476979
360.00000000,0.00467003,0.00242317,0.00510481
390.00000000,0.00478747,0.00267907,0.00582486
420.00000000,0.00482950,0.00303456,0.00646687
450.00000000,0.00507427,0.00345444,0.00777266
480.00000000,0.00557603,0.00354075,0.00877695
510.00000000,0.00558195,0.00374937,0.00906176
540.00000000,0.00558403,0.00402799,0.00939061
570.00000000,0.00566909,0.00445003,0.00951876
600.00000000,0.00586126,0.00446713,0.00961338
630.00000000,0.00604692,0.00447169,0.00974540
660.00000000,0.00703658,0.00477311,0.00994414
690.00000000,0.00712080,0.00478741,0.00997325
720.00000000,0.00714215,0.00482478,0.00997548
750.00000000,0.00714650,0.00492830,0.01004089
780.00000000,0.00771411,0.00525630,0.01007353
810.00000000,0.00808649,0.00533291,0.01018473
840.00000000,0.00815784,0.00533465,0.01028016
870.00000000,0.00818214,0.00575484,0.01092675
900.00000000,0.00835039,0.00643441,0.01109829
930.00000000,0.00854192,0.00687192,0.01114838
960.00000000,0.00863952,0.00729442,0.01126233
990.00000000,0.00869283,0.00757761,0.01135310
1020.00000000,0.00869296,0.00758304,0.01135697
1050.00000000,0.00869559,0.00759665,0.01136124
1080.00000000,0.00870019,0.00759721,0.01136960
1110.00000000,0.00880143,0.00795909,0.01144991
1140.00000000,0.00880427,0.00797080,0.01147599
1170.00000000,0.00880505,0.00797442,0.01148374
1200.00000000,0.00931100,0.00843217,0.01148494
1230.00000000,0.00969759,0.00915608,0.01153741
1260.00000000,0.01015138,0.00997901,0.01159194
1290.00000000,0.01026831,0.01048981,0.01173089
1320.00000000,0.01042716,0.01068521,0.01173278
1350.00000000,0.01052018,0.01078106,0.01211051
1380.00000000,0.01054664,0.01090124,0.01236993
1410.00000000,0.01054691,0.01136783,0.01281456
1440.00000000,0.01074987,0.01231358,0.01308703
1470.00000000,0.01112394,0.01354081,0.01333324
1500.00000000,0.01177728,0.01431914,0.01333871
1530.00000000,0.01198545,0.01488026,0.01342445
1560.00000000,0.01255746,0.01512399,0.01349342
1590.00000000,0.01276076,0.01516921,0.01355018
1620.00000000,0.01286870,0.01526611,0.01355048
1650.00000000,0.01295543,0.01539332,0.01355434
1680.00000000,0.01323526,0.01571420,0.01355574
1710.00000000,0.01404056,0.01648391,0.01355615
1740.00000000,0.01487649,0.01748027,0.01356318
1770.00000000,0.01579813,0.01856712,0.01356999
1800.00000000,0.01662249,0.01957041,0.01357877
1830.00000000,0.01728150,0.02071691,0.01364582
1860.00000000,0.01755153,0.02123893,0.01368698
1890.00000000,0.01806355,0.02163942,0.01369382
1920.00000000,0.01839479,0.02178320,0.01373237
1950.00000000,0.01859149,0.02182879,0.01378527
1980.00000000,0.01867573,0.02184408,0.01381302
2010.00000000,0.01873742,0.02192719,0.01381461
2040.00000000,0.01878973,0.02196339,0.01381609
2070.00000000,0.01901614,0.02219469,0.01381612
2100.00000000,0.01904635,0.02225188,0.01382039
2130.00000000,0.01910337,0.02225319,0.01386141
2160.00000000,0.01929356,0.02239476,0.01386499
2190.00000000,0.01929683,0.02239688,0.01386512
2220.00000000,0.01936860,0.02247037,0.01386513
2250.00000000,0.01937134,0.02248559,0.01387019
2280.00000000,0.01937334,0.02250102,0.01387651
2310.00000000,0.01937373,0.02250573,0.01387888
2340.00000000,0.01939304,0.02250648,0.01390652
2370.00000000,0.01940318,0.02252427,0.01390759
2400.00000000,0.01959827,0.02259969,0.01393551
2430.00000000,0.01963141,0.02260605,0.01394598
2460.00000000,0.01965097,0.02261220,0.01394975
2490.00000000,0.01968735,0.02263886,0.01395051
2520.00000000,0.01968903,0.02264247,0.01396072
2550.00000000,0.01974070,0.02264479,0.01399281
2580.00000000,0.01984095,0.02264483,0.01409697
2610.00000000,0.01984923,0.02278253,0.01417541
2640.00000000,0.01997580,0.02322503,0.01427118
2670.00000000,0.02002886,0.02339723,0.01430525
2700.00000000,0.02031119,0.02363411,0.01430725
2730.00000000,0.02047674,0.02367743,0.01434674
2760.00000000,0.02056092,0.02369145,0.01437623
2790.00000000,0.02062987,0.02374900,0.01437675
2820.00000000,0.02064018,0.02377981,0.01445351
2850.00000000,0.02065487,0.02392859,0.01452347
2880.00000000,0.02066182,0.02393228,0.01454424
2910.00000000,0.02067429,0.02397569,0.01455358
2940.00000000,0.02067678,0.02400341,0.01456719
2970.00000000,0.02074325,0.02414957,0.01458269
3000.00000000,0.02077783,0.02426677,0.01460714
3030.00000000,0.02078508,0.02427840,0.01464439
3060.00000000,0.02079718,0.02427930,0.01466400
3090.00000000,0.02083348,0.02428480,0.01467753
3120.00000000,0.02089857,0.02429498,0.01470133
3150.00000000,0.02089895,0.02431324,0.01471470
3180.00000000,0.02092050,0.02432652,0.01471569
3210.00000000,0.02092940,0.02439087,0.01474107
3240.00000000,0.02097179,0.02455561,0.01478107
3270.00000000,0.02097229,0.02455974,0.01478856
3300.00000000,0.02097624,0.02457036,0.01481610
3330.00000000,0.02103214,0.02457094,0.01488394
3360.00000000,0.02105791,0.02457809,0.01494402
3390.00000000,0.02106712,0.02460476,0.01501122
3420.00000000,0.02108408,0.02462141,0.01507844
3450.00000000,0.02108662,0.02471869,0.01514683
3480.00000000,0.02109826,0.02488789,0.01523890
3510.00000000,0.02116642,0.02514087,0.01529742
3540.00000000,0.02135553,0.02539686,0.01530247
3570.00000000,0.02141939,0.02548227,0.01530403
3600.00000000,0.02146972,0.02559689,0.01531708
