times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00622487,0.01111480,0.00484093,0.00004900
60.00000000,0.02456812,0.02766170,0.00658375,0.00010252
90.00000000,0.04582963,0.05653437,0.01453668,0.00044430
120.00000000,0.05415412,0.06595722,0.01668884,0.00369483
150.00000000,0.05662509,0.06846437,0.01870789,0.00575007
180.00000000,0.06271627,0.07241707,0.02165886,0.00656256
210.00000000,0.06632577,0.08154740,0.03138739,0.01077025
240.00000000,0.06702759,0.08426834,0.04387620,0.01983631
270.00000000,0.07281295,0.09123362,0.06438436,0.02759383
300.00000000,0.07630752,0.10462531,0.08969299,0.03601620
330.00000000,0.08718188,0.11360884,0.11447434,0.04093965
360.00000000,0.09059038,0.12998322,0.13180520,0.04339166
390.00000000,0.09865180,0.14429782,0.14641758,0.05115529
420.00000000,0.10688053,0.15475887,0.15578656,0.06047609
450.00000000,0.11138233,0.18203926,0.17204115,0.06700010
480.00000000,0.11230220,0.20265102,0.18160431,0.07712883
510.00000000,0.12777017,0.22879160,0.19505501,0.07990693
540.00000000,0.14043984,0.25652456,0.20794147,0.08208378
570.00000000,0.14331438,0.27207865,0.21505111,0.09340276
600.00000000,0.14919027,0.28740380,0.22193849,0.09596463
630.00000000,0.15247916,0.29002443,0.22996115,0.09807777
660.00000000,0.15291081,0.29758187,0.24005277,0.10104361
690.00000000,0.15834890,0.30174546,0.24139971,0.10366506
720.00000000,0.16352662,0.30944630,0.24315594,0.10443195
750.00000000,0.16708124,0.31177200,0.24979129,0.10983837
780.00000000,0.17611850,0.31728757,0.25097328,0.11217806
810.00000000,0.18022926,0.32606846,0.25412150,0.11369999
840.00000000,0.18107560,0.32857450,0.25744598,0.11372789
870.00000000,0.18177416,0.33454504,0.26545779,0.11507059
900.00000000,0.18805329,0.33618302,0.27817460,0.12314624
930.00000000,0.19248748,0.34391408,0.28869191,0.12479417
960.00000000,0.19593645,0.34812227,0.29234086,0.12880239
990.00000000,0.20880199,0.35830327,0.29587376,0.13501984
1020.00000000,0.20938193,0.36322097,0.30083901,0.13564731
1050.00000000,0.20984233,0.36779279,0.31103793,0.14173482
1080.00000000,0.21618703,0.36831758,0.32585702,0.14968442
1110.00000000,0.22080028,0.37296873,0.33570389,0.15026691
1140.00000000,0.23040557,0.37363444,0.34030824,0.15593356
1170.00000000,0.23528853,0.37680694,0.34268272,0.16161456
1200.00000000,0.23897780,0.38105054,0.34655322,0.17341793
1230.00000000,0.24257381,0.38444566,0.34798646,0.18184231
1260.00000000,0.24802785,0.39129116,0.35104374,0.18350812
1290.00000000,0.25359469,0.39204677,0.35315139,0.18621171
1320.00000000,0.25551833,0.39665703,0.35520092,0.18684879
1350.00000000,0.26158072,0.40798984,0.35754312,0.18977702
1380.00000000,0.27033239,0.41922315,0.36184062,0.19159287
1410.00000000,0.27137571,0.42626709,0.36314509,0.19837566
1440.00000000,0.27381523,0.42693725,0.36654141,0.20000262
1470.00000000,0.27886100,0.42719262,0.36953862,0.20230656
1500.00000000,0.28115526,0.43435465,0.37297872,0.20373422
1530.00000000,0.28586334,0.43723352,0.37428001,0.20426213
1560.00000000,0.28801089,0.44157442,0.37907646,0.20595412
1590.00000000,0.29007793,0.44433964,0.38440203,0.20644744
1620.00000000,0.29766331,0.44462804,0.39270783,0.20687945
1650.00000000,0.30471450,0.44520587,0.39951800,0.20721627
1680.00000000,0.30537578,0.44653511,0.40723307,0.21294082
1710.00000000,0.30670435,0.44802646,0.41407047,0.21695830
1740.00000000,0.30793212,0.45117146,0.41985868,0.22082928
1770.00000000,0.31267166,0.45526009,0.42362775,0.22524927
1800.00000000,0.31525845,0.46455453,0.43162176,0.22653563
1830.00000000,0.31976675,0.46777977,0.43977011,0.22695042
1860.00000000,0.32510298,0.47167385,0.44586419,0.23008663
1890.00000000,0.33118886,0.48066461,0.44686488,0.23199081
1920.00000000,0.33203605,0.48151199,0.45022837,0.23704887
1950.00000000,0.33409167,0.48543034,0.45183109,0.24051431
1980.00000000,0.33535091,0.48966195,0.45731963,0.24051664
2010.00000000,0.33928755,0.49019435,0.46302003,0.24174800
2040.00000000,0.34588438,0.49168051,0.46797380,0.24487722
2070.00000000,0.34824145,0.49958852,0.47131317,0.24708880
2100.00000000,0.35606907,0.50920125,0.47150593,0.24906667
2130.00000000,0.36460131,0.51978513,0.47432527,0.24983437
2160.00000000,0.36909463,0.52906336,0.48013777,0.25086198
2190.00000000,0.37380022,0.54067524,0.48648288,0.25142314
2220.00000000,0.38061266,0.55290091,0.49291902,0.25244606
2250.00000000,0.39403088,0.56905407,0.49692371,0.25371579
2280.00000000,0.40506630,0.58461631,0.50369573,0.25596099
2310.00000000,0.41207593,0.59563142,0.50815969,0.25641949
2340.00000000,0.41977896,0.60729946,0.51425700,0.25855178
2370.00000000,0.42246995,0.61552786,0.52110939,0.25986676
2400.00000000,0.42328394,0.61652963,0.52270018,0.26009173
2430.00000000,0.42474570,0.61950517,0.52515916,0.26103690
2460.00000000,0.43025883,0.62610911,0.52884148,0.26362842
2490.00000000,0.43515384,0.63040427,0.52986825,0.26405533
2520.00000000,0.44535026,0.63841286,0.53042555,0.26680047
2550.00000000,0.45113975,0.64252449,0.53092013,0.26798375
2580.00000000,0.45942826,0.64864802,0.53216286,0.27139145
2610.00000000,0.46633665,0.65449012,0.53243986,0.27218075
2640.00000000,0.47364640,0.65899390,0.53425965,0.27316693
2670.00000000,0.47488998,0.66105763,0.53530739,0.27503481
2700.00000000,0.47544584,0.66797455,0.53866222,0.27804103
2730.00000000,0.48223401,0.66910290,0.54425107,0.27811201
2760.00000000,0.49045248,0.67144719,0.54829316,0.27994411
2790.00000000,0.49155691,0.67333151,0.55158809,0.28025029
2820.00000000,0.49718328,0.67563883,0.55189116,0.28387241
2850.00000000,0.49970238,0.67698202,0.55289245,0.28673341
2880.00000000,0.49982252,0.68092465,0.55305468,0.29071814
2910.00000000,0.50286316,0.68405923,0.55784105,0.29559844
2940.00000000,0.50626982,0.68609679,0.56275243,0.29914073
2970.00000000,0.51348703,0.69132188,0.56575381,0.30014999
3000.00000000,0.52052052,0.69844248,0.56599275,0.30030181
3030.00000000,0.52495015,0.70522831,0.56816556,0.30048521
3060.00000000,0.52911220,0.71044821,0.57033693,0.30371443
3090.00000000,0.53029088,0.71561107,0.57259415,0.30544140
3120.00000000,0.53357223,0.72253336,0.57561786,0.30605863
3150.00000000,0.53386988,0.72735709,0.58091894,0.30623831
3180.00000000,0.53799698,0.72998922,0.58516060,0.30875590
3210.00000000,0.53814983,0.73348132,0.58651454,0.31074122
3240.00000000,0.53866619,0.73674849,0.58933013,0.31080601
3270.00000000,0.53978947,0.74065855,0.59232794,0.31101703
3300.00000000,0.54003737,0.74406762,0.59611725,0.31164517
3330.00000000,0.54101946,0.75097704,0.59940429,0.31624962
