times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
2670.00000000,0.55607486,0.51104624,0.43901548,0.23702269
2700.00000000,0.56389266,0.51434967,0.44877245,0.23838695
2730.00000000,0.56954498,0.51606457,0.45597389,0.23855273
2760.00000000,0.57684295,0.51938645,0.46576150,0.23938496
2790.00000000,0.57991912,0.52573244,0.47346058,0.24110804
2820.00000000,0.58141865,0.53347546,0.48092532,0.24288585
2850.00000000,0.58315156,0.54126974,0.48769474,0.24359390
2880.00000000,0.58610493,0.54795777,0.49310050,0.24526500
2910.00000000,0.58980006,0.55445982,0.49647730,0.24583488
2940.00000000,0.59464032,0.56150156,0.49880363,0.24595974
2970.00000000,0.60056731,0.57062695,0.50068150,0.24728027
3000.00000000,0.60374374,0.57766439,0.50215464,0.24966815
3030.00000000,0.60834065,0.58343366,0.50323769,0.24975745
3060.00000000,0.61172618,0.58771333,0.50355156,0.25096546
3090.00000000,0.61488326,0.58995610,0.50379297,0.25163835
3120.00000000,0.61846819,0.59396569,0.50447137,0.25274142
3150.00000000,0.62555670,0.59942564,0.50477770,0.25406364
3180.00000000,0.63283859,0.60448780,0.50540004,0.25566103
3210.00000000,0.63768577,0.60893290,0.50563654,0.25629963
3240.00000000,0.64004307,0.61086517,0.50619215,0.25728027
3270.00000000,0.64103504,0.61256991,0.50754583,0.25862330
3300.00000000,0.64291428,0.61547473,0.50777726,0.25988030
3330.00000000,0.64670900,0.61986905,0.50926004,0.26196267
3360.00000000,0.65220205,0.62604800,0.51116494,0.26455346
3390.00000000,0.65568389,0.63032821,0.51282366,0.26701056
3420.00000000,0.65835846,0.63380966,0.51413957,0.26913335
3450.00000000,0.66173211,0.63909627,0.51503040,0.27015548
3480.00000000,0.66545494,0.64395527,0.51503746,0.27128460
3510.00000000,0.67193137,0.65011395,0.51687871,0.27280809
3540.00000000,0.67923737,0.65586938,0.51910485,0.27348365
3570.00000000,0.68465220,0.65876937,0.52211793,0.27398191
3600.00000000,0.69144179,0.66035825,0.52510113,0.27619941
