times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.01383902,0.00531457,0.00034801,0.00817645
60.00000000,0.01691259,0.02355562,0.00182856,0.02186338
90.00000000,0.02279257,0.04428627,0.00617227,0.04413028
120.00000000,0.04469407,0.09386274,0.01468513,0.06329239
150.00000000,0.07103453,0.10734371,0.03882626,0.07457403
180.00000000,0.10605961,0.11769836,0.06640262,0.07747997
210.00000000,0.13792896,0.12934056,0.08906086,0.07991106
240.00000000,0.16569650,0.13623927,0.10870547,0.08113528
270.00000000,0.20399651,0.13719790,0.14784672,0.08293516
300.00000000,0.24402818,0.13991292,0.18182100,0.08627753
330.00000000,0.29031447,0.14910218,0.21045816,0.09473741
360.00000000,0.32452404,0.16108662,0.23945806,0.11193151
390.00000000,0.35202500,0.17342856,0.26925997,0.12197250
420.00000000,0.38111811,0.17730353,0.29762976,0.12657080
450.00000000,0.41955247,0.18424358,0.32591399,0.14366097
480.00000000,0.46022532,0.18924712,0.35023877,0.16501259
510.00000000,0.50112535,0.19120053,0.36736627,0.18683170
540.00000000,0.52294425,0.19495230,0.38766874,0.19209992
570.00000000,0.52952790,0.19790149,0.39482854,0.19447296
600.00000000,0.53561692,0.21474325,0.40938829,0.20284398
630.00000000,0.53688226,0.23242343,0.41718070,0.21146641
660.00000000,0.56433200,0.25740524,0.41861222,0.21250282
690.00000000,0.58801872,0.27369354,0.42588761,0.21262586
720.00000000,0.58877225,0.27543234,0.42735616,0.21364964
750.00000000,0.59164098,0.28227210,0.43131071,0.22157521
780.00000000,0.60299008,0.29148773,0.43781378,0.22594482
810.00000000,0.61027288,0.29215080,0.44346043,0.22691790
840.00000000,0.62009604,0.30056433,0.45098164,0.23584872
870.00000000,0.62318057,0.31246788,0.46004983,0.24176862
900.00000000,0.63685463,0.33143867,0.46055866,0.24757419
930.00000000,0.64665182,0.33953056,0.47333427,0.25864449
960.00000000,0.67866109,0.35738086,0.50268294,0.27383421
990.00000000,0.71060539,0.37220144,0.53403445,0.28806199
1020.00000000,0.74013631,0.37234719,0.56670337,0.29134573
1050.00000000,0.77912066,0.37911726,0.59343714,0.29682624
1080.00000000,0.81386558,0.39128661,0.60590458,0.30693436
1110.00000000,0.82968116,0.40069488,0.60699839,0.31224786
1140.00000000,0.85725025,0.41451587,0.61843559,0.31455876
1170.00000000,0.86750503,0.43189494,0.64478278,0.31584541
1200.00000000,0.87845724,0.45782590,0.67722376,0.32028760
1230.00000000,0.89292923,0.48394999,0.68854800,0.32061544
1260.00000000,0.90260781,0.50381662,0.69694714,0.32240437
1290.00000000,0.90799173,0.50627377,0.70006474,0.32712784
1320.00000000,0.91198755,0.50792674,0.70690748,0.32832179
1350.00000000,0.92451513,0.51031123,0.71791973,0.33222162
1380.00000000,0.93596934,0.51336100,0.72941233,0.33523299
1410.00000000,0.95375006,0.51524214,0.74041090,0.34389628
1440.00000000,0.95404549,0.52487110,0.74346961,0.35017110
1470.00000000,0.96699328,0.53735034,0.74631553,0.35348556
1500.00000000,0.97938693,0.55192844,0.75727349,0.36225906
1530.00000000,0.99132672,0.57135947,0.76804623,0.36554055
1560.00000000,0.99304492,0.58130380,0.77409462,0.36771830
1590.00000000,0.99906475,0.59044645,0.77684158,0.36809415
1620.00000000,1.00272310,0.59102812,0.78042815,0.36874760
1650.00000000,1.00795605,0.59194354,0.78164284,0.37185044
1680.00000000,1.01335562,0.59641611,0.78271377,0.37384836
1710.00000000,1.01735319,0.60128802,0.78507712,0.37533737
1740.00000000,1.02232784,0.60129189,0.78578449,0.37960852
1770.00000000,1.03344898,0.61964924,0.79878735,0.38537517
1800.00000000,1.03414116,0.62933983,0.81163746,0.38784252
1830.00000000,1.04481787,0.64485508,0.81917708,0.39054360
1860.00000000,1.04907742,0.65168023,0.82083599,0.39145027
1890.00000000,1.05055966,0.65515121,0.82105031,0.39661781
1920.00000000,1.06191477,0.66432686,0.82843022,0.40617719
1950.00000000,1.06468351,0.67891383,0.84174302,0.40767176
1980.00000000,1.06573700,0.68683650,0.85503023,0.41198282
2010.00000000,1.07051380,0.69028900,0.86227080,0.42054770
2040.00000000,1.08001108,0.69654899,0.86717170,0.42221130
2070.00000000,1.08645384,0.69817121,0.87348221,0.42396578
2100.00000000,1.09884727,0.70651603,0.87435334,0.42888553
2130.00000000,1.10134658,0.70834234,0.87573422,0.43093941
