times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
3270.0,301.4,353.0,157.2,36.1,0.0,0.0
3300.0,304.9,364.3,160.7,36.3,0.0,0.0
3330.0,315.2,367.6,164.7,37.8,0.0,0.0
3360.0,321.4,375.5,167.5,39.4,0.0,0.0
3390.0,325.9,382.2,177.0,37.8,0.0,0.0
3420.0,331.6,388.0,181.5,39.6,0.0,0.0
3450.0,340.0,395.3,183.1,42.5,0.0,0.0
3480.0,347.7,405.4,186.7,42.4,0.0,0.0
3510.0,355.0,414.0,189.6,44.4,0.0,0.0
3540.0,364.4,422.2,191.0,47.3,0.0,0.0
3570.0,372.8,433.1,192.5,48.4,0.0,0.0
3600.0,379.0,447.3,195.0,48.1,0.0,0.0
