Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	0.2461864379362113	-723.8922604460681	-720.4903912871896	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-687.5469833533105	0.0	1.0
2	10.061180351303104	-222.93983285639945	-184.42131433788091	500.9524275896687	536.0690769493087	1.6579159163364467e-109	3.927163484621452e-117	1.6579159163364467e-109	3.927163484621452e-117	6.031668977578393e+108	2.5463671271031698e+116	-113.90400157812653	573.6429817751839	2.722759087710893e-125
3	11.873516159767645	-202.8990991725097	-164.38058065399116	520.9931612735584	556.1098106331984	7.375177461716585e-114	1.7469841102833605e-121	7.375177461716585e-114	1.7469841102833605e-121	1.3558995769130257e+113	5.724150518105171e+120	-93.86326789423677	593.6837154590737	1.2112092814538837e-129
