times, G0G1_phase_csse, S_phase_csse, G2M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00000018,0.00000041,0.00000005
60.00000000,0.00000331,0.00000108,0.00000096
90.00000000,0.00000403,0.00000688,0.00000340
120.00000000,0.00001684,0.00000902,0.00000788
150.00000000,0.00002916,0.00001083,0.00003147
180.00000000,0.00002947,0.00002125,0.00003861
210.00000000,0.00011869,0.00009496,0.00003936
240.00000000,0.00017888,0.00012809,0.00004336
270.00000000,0.00022251,0.00014173,0.00005184
300.00000000,0.00027578,0.00014295,0.00009024
330.00000000,0.00035672,0.00015999,0.00011394
360.00000000,0.00061686,0.00018841,0.00023054
390.00000000,0.00104567,0.00030782,0.00032619
420.00000000,0.00125550,0.00032399,0.00043570
450.00000000,0.00138467,0.00037003,0.00045667
480.00000000,0.00164935,0.00043811,0.00052096
510.00000000,0.00185042,0.00047838,0.00058233
540.00000000,0.00202127,0.00050884,0.00063937
570.00000000,0.00204143,0.00051131,0.00064788
600.00000000,0.00204458,0.00051385,0.00064791
630.00000000,0.00210809,0.00053652,0.00065821
660.00000000,0.00213207,0.00054009,0.00066725
690.00000000,0.00214721,0.00055406,0.00066727
720.00000000,0.00216427,0.00055420,0.00068767
750.00000000,0.00216562,0.00056790,0.00069409
780.00000000,0.00216813,0.00057494,0.00069524
810.00000000,0.00217363,0.00057504,0.00069932
840.00000000,0.00218342,0.00057861,0.00070085
870.00000000,0.00218368,0.00058492,0.00070484
900.00000000,0.00219399,0.00058898,0.00070628
930.00000000,0.00228543,0.00061044,0.00073058
960.00000000,0.00231517,0.00061044,0.00075953
990.00000000,0.00232514,0.00061240,0.00078029
1020.00000000,0.00237568,0.00061336,0.00081788
1050.00000000,0.00237638,0.00062025,0.00082984
1080.00000000,0.00238220,0.00064388,0.00083583
1110.00000000,0.00240275,0.00068156,0.00083841
1140.00000000,0.00242141,0.00072065,0.00084214
1170.00000000,0.00242899,0.00073517,0.00084326
1200.00000000,0.00243959,0.00078291,0.00085661
1230.00000000,0.00246836,0.00083726,0.00086064
1260.00000000,0.00246971,0.00086256,0.00087563
1290.00000000,0.00246985,0.00092671,0.00093380
1320.00000000,0.00247389,0.00098255,0.00096365
1350.00000000,0.00247408,0.00102695,0.00100236
1380.00000000,0.00247410,0.00105949,0.00103339
1410.00000000,0.00247474,0.00107929,0.00106096
1440.00000000,0.00248769,0.00109146,0.00111120
1470.00000000,0.00248823,0.00110278,0.00111812
1500.00000000,0.00248839,0.00110915,0.00112261
1530.00000000,0.00249218,0.00111833,0.00112379
1560.00000000,0.00256966,0.00114471,0.00113722
1590.00000000,0.00269879,0.00123120,0.00114148
1620.00000000,0.00277442,0.00135606,0.00114762
1650.00000000,0.00278881,0.00145405,0.00118490
1680.00000000,0.00281098,0.00157195,0.00122271
1710.00000000,0.00284838,0.00169594,0.00124791
1740.00000000,0.00286982,0.00181285,0.00128613
1770.00000000,0.00290225,0.00190476,0.00130128
1800.00000000,0.00298054,0.00197247,0.00130166
1830.00000000,0.00309990,0.00201528,0.00132087
1860.00000000,0.00317446,0.00202368,0.00135378
1890.00000000,0.00325508,0.00203145,0.00139210
1920.00000000,0.00328377,0.00203719,0.00145218
1950.00000000,0.00329763,0.00204047,0.00148281
1980.00000000,0.00331042,0.00204916,0.00152537
2010.00000000,0.00331053,0.00205269,0.00152776
2040.00000000,0.00333201,0.00205301,0.00154426
2070.00000000,0.00335286,0.00205303,0.00156409
2100.00000000,0.00336571,0.00205893,0.00160026
2130.00000000,0.00336699,0.00205944,0.00160368
2160.00000000,0.00336723,0.00206261,0.00160881
2190.00000000,0.00336882,0.00206473,0.00160885
2220.00000000,0.00336983,0.00206482,0.00160936
2250.00000000,0.00337011,0.00206493,0.00161012
2280.00000000,0.00337336,0.00206506,0.00161476
2310.00000000,0.00337897,0.00206866,0.00161498
2340.00000000,0.00337961,0.00206999,0.00161878
2370.00000000,0.00338059,0.00207103,0.00161878
2400.00000000,0.00339099,0.00207280,0.00162237
2430.00000000,0.00341243,0.00208461,0.00162379
2460.00000000,0.00342321,0.00208467,0.00163299
2490.00000000,0.00342675,0.00208477,0.00163780
2520.00000000,0.00345367,0.00208653,0.00165269
2550.00000000,0.00347369,0.00209518,0.00165504
2580.00000000,0.00349742,0.00209770,0.00166581
2610.00000000,0.00350254,0.00210014,0.00168043
2640.00000000,0.00350562,0.00210695,0.00168116
2670.00000000,0.00351495,0.00211784,0.00168122
2700.00000000,0.00351653,0.00211789,0.00168339
2730.00000000,0.00351670,0.00212438,0.00168795
2760.00000000,0.00352295,0.00217002,0.00170607
2790.00000000,0.00354443,0.00224149,0.00172066
2820.00000000,0.00357567,0.00229592,0.00172385
2850.00000000,0.00360895,0.00235487,0.00172750
2880.00000000,0.00362463,0.00237833,0.00172828
2910.00000000,0.00363725,0.00240426,0.00173065
2940.00000000,0.00368777,0.00243009,0.00173475
2970.00000000,0.00371724,0.00245295,0.00173517
3000.00000000,0.00372649,0.00246200,0.00173517
3030.00000000,0.00372729,0.00246260,0.00173518
3060.00000000,0.00372742,0.00246524,0.00173679
3090.00000000,0.00372744,0.00246711,0.00173830
3120.00000000,0.00372744,0.00246840,0.00173950
3150.00000000,0.00372859,0.00246870,0.00173978
3180.00000000,0.00373146,0.00246893,0.00174125
3210.00000000,0.00374561,0.00246917,0.00175194
3240.00000000,0.00374811,0.00246917,0.00175430
3270.00000000,0.00374926,0.00247012,0.00175431
3300.00000000,0.00374970,0.00247033,0.00175435
3330.00000000,0.00376609,0.00247379,0.00175915
3360.00000000,0.00377190,0.00247753,0.00175938
3390.00000000,0.00378660,0.00248645,0.00176010
3420.00000000,0.00380400,0.00250188,0.00176016
3450.00000000,0.00382221,0.00251106,0.00176169
3480.00000000,0.00383475,0.00251667,0.00176306
3510.00000000,0.00385612,0.00252805,0.00176462
3540.00000000,0.00386660,0.00252869,0.00177058
3570.00000000,0.00387671,0.00253020,0.00177438
3600.00000000,0.00388192,0.00253030,0.00177823
