times, G0G1_phase_csse, S_phase_csse, G2M_phase_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00012267,0.00014061,0.00000061
60.00000000,0.00022296,0.00025580,0.00000113
90.00000000,0.00030015,0.00039762,0.00001088
120.00000000,0.00042467,0.00062562,0.00002641
150.00000000,0.00053890,0.00086928,0.00005063
180.00000000,0.00084409,0.00102367,0.00007608
210.00000000,0.00122864,0.00119644,0.00011789
240.00000000,0.00166063,0.00141132,0.00015541
270.00000000,0.00204461,0.00159309,0.00019278
300.00000000,0.00247472,0.00169043,0.00031100
330.00000000,0.00309736,0.00180647,0.00051209
360.00000000,0.00412154,0.00201409,0.00082162
390.00000000,0.00538687,0.00214697,0.00139976
420.00000000,0.00608752,0.00220054,0.00176649
450.00000000,0.00653222,0.00220166,0.00216773
480.00000000,0.00691806,0.00220195,0.00253251
510.00000000,0.00709397,0.00221031,0.00279343
540.00000000,0.00712494,0.00227701,0.00298202
570.00000000,0.00712494,0.00236739,0.00307277
600.00000000,0.00714428,0.00266848,0.00324058
630.00000000,0.00716219,0.00276248,0.00327042
660.00000000,0.00724698,0.00288866,0.00327453
690.00000000,0.00755541,0.00306546,0.00329272
720.00000000,0.00756586,0.00307056,0.00329367
750.00000000,0.00757610,0.00307120,0.00329943
780.00000000,0.00758162,0.00307157,0.00330817
810.00000000,0.00759304,0.00309794,0.00331125
840.00000000,0.00760315,0.00309857,0.00331692
870.00000000,0.00762851,0.00309978,0.00333245
900.00000000,0.00769205,0.00311913,0.00334521
930.00000000,0.00769431,0.00312978,0.00336794
960.00000000,0.00772449,0.00324715,0.00339646
990.00000000,0.00774066,0.00333301,0.00342397
1020.00000000,0.00778985,0.00339194,0.00342441
1050.00000000,0.00778986,0.00339257,0.00342525
1080.00000000,0.00779177,0.00340330,0.00344691
1110.00000000,0.00781188,0.00345380,0.00358127
1140.00000000,0.00788739,0.00352801,0.00388069
1170.00000000,0.00790020,0.00375062,0.00400930
1200.00000000,0.00790401,0.00387864,0.00418528
1230.00000000,0.00791518,0.00396968,0.00422370
1260.00000000,0.00791537,0.00401041,0.00427013
1290.00000000,0.00792739,0.00402701,0.00427050
1320.00000000,0.00793696,0.00402732,0.00428381
1350.00000000,0.00795311,0.00405196,0.00428470
1380.00000000,0.00796587,0.00405919,0.00428548
1410.00000000,0.00802909,0.00410769,0.00428646
1440.00000000,0.00805690,0.00418743,0.00429982
1470.00000000,0.00808341,0.00423717,0.00430344
1500.00000000,0.00819315,0.00424213,0.00437149
1530.00000000,0.00821409,0.00424245,0.00438759
1560.00000000,0.00821466,0.00424293,0.00438970
1590.00000000,0.00821500,0.00424458,0.00439319
1620.00000000,0.00822951,0.00425300,0.00443822
1650.00000000,0.00822976,0.00425506,0.00443909
1680.00000000,0.00823531,0.00426174,0.00446350
1710.00000000,0.00825661,0.00428557,0.00455369
1740.00000000,0.00826225,0.00429508,0.00458347
1770.00000000,0.00826633,0.00432174,0.00459335
1800.00000000,0.00828331,0.00432248,0.00460395
1830.00000000,0.00828340,0.00433184,0.00461160
1860.00000000,0.00828495,0.00433302,0.00461163
1890.00000000,0.00830054,0.00433635,0.00461613
1920.00000000,0.00834275,0.00438096,0.00461616
1950.00000000,0.00834293,0.00438099,0.00461622
1980.00000000,0.00836243,0.00441264,0.00461768
2010.00000000,0.00838869,0.00442274,0.00462147
2040.00000000,0.00843048,0.00443886,0.00462748
2070.00000000,0.00845166,0.00444211,0.00463531
2100.00000000,0.00846465,0.00444427,0.00466105
2130.00000000,0.00846544,0.00445728,0.00468124
2160.00000000,0.00847124,0.00445729,0.00468757
2190.00000000,0.00849929,0.00446773,0.00469183
2220.00000000,0.00852157,0.00447185,0.00469907
2250.00000000,0.00855205,0.00447187,0.00473103
2280.00000000,0.00856143,0.00448960,0.00478392
2310.00000000,0.00856375,0.00458086,0.00484840
2340.00000000,0.00857024,0.00468052,0.00500543
2370.00000000,0.00858050,0.00477375,0.00517074
2400.00000000,0.00858054,0.00491875,0.00532110
2430.00000000,0.00860173,0.00517808,0.00545337
2460.00000000,0.00860198,0.00543694,0.00569649
2490.00000000,0.00863563,0.00560415,0.00574732
2520.00000000,0.00868106,0.00569242,0.00575437
2550.00000000,0.00872972,0.00572316,0.00575642
2580.00000000,0.00882709,0.00582222,0.00575643
2610.00000000,0.00891619,0.00592102,0.00575668
2640.00000000,0.00897055,0.00593783,0.00576739
2670.00000000,0.00897939,0.00593935,0.00577041
2700.00000000,0.00898897,0.00594034,0.00577484
2730.00000000,0.00898993,0.00594568,0.00578566
2760.00000000,0.00899014,0.00595456,0.00579201
2790.00000000,0.00899267,0.00598563,0.00580786
2820.00000000,0.00899315,0.00600329,0.00582020
2850.00000000,0.00899474,0.00601612,0.00582558
2880.00000000,0.00899818,0.00601701,0.00583343
2910.00000000,0.00901377,0.00603005,0.00583354
2940.00000000,0.00901745,0.00603147,0.00584323
2970.00000000,0.00903169,0.00603175,0.00586174
3000.00000000,0.00903194,0.00603705,0.00586498
3030.00000000,0.00903212,0.00604108,0.00587087
3060.00000000,0.00903495,0.00605111,0.00587307
3090.00000000,0.00905523,0.00607064,0.00587307
3120.00000000,0.00907080,0.00611256,0.00587946
3150.00000000,0.00907406,0.00612386,0.00588189
3180.00000000,0.00909119,0.00614830,0.00588254
3210.00000000,0.00912684,0.00619327,0.00588308
3240.00000000,0.00913589,0.00620152,0.00588310
3270.00000000,0.00913643,0.00620188,0.00588488
3300.00000000,0.00913724,0.00620611,0.00589362
3330.00000000,0.00915057,0.00620646,0.00591159
3360.00000000,0.00915580,0.00621765,0.00594330
3390.00000000,0.00915642,0.00622911,0.00595004
3420.00000000,0.00916246,0.00624934,0.00595420
3450.00000000,0.00916375,0.00625417,0.00595533
3480.00000000,0.00917610,0.00628254,0.00595862
3510.00000000,0.00918599,0.00629765,0.00595916
3540.00000000,0.00918659,0.00629804,0.00596112
3570.00000000,0.00919055,0.00630048,0.00596130
3600.00000000,0.00921765,0.00630516,0.00597055
