times, Ki67_negative_csse, Ki67_positive_premitotic_csse, Ki67_positive_postmitotic_csse
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00041047,0.00750598,0.01142702
60.00000000,0.00041135,0.01543515,0.01919050
90.00000000,0.00081621,0.02179303,0.02274448
120.00000000,0.00156674,0.02587554,0.02407664
150.00000000,0.00269490,0.02961053,0.02483434
180.00000000,0.00380613,0.03201467,0.02508073
210.00000000,0.00537097,0.03318872,0.02510876
240.00000000,0.00686149,0.03387113,0.02526461
270.00000000,0.00820030,0.03402014,0.02585914
300.00000000,0.00874746,0.03403449,0.02624346
330.00000000,0.00904916,0.03403476,0.02652740
360.00000000,0.00924630,0.03404029,0.02679616
390.00000000,0.00931611,0.03407709,0.02700412
420.00000000,0.00932141,0.03417471,0.02715253
450.00000000,0.00932185,0.03431097,0.02730479
480.00000000,0.00932969,0.03436080,0.02732294
510.00000000,0.00936058,0.03453620,0.02738202
540.00000000,0.00940605,0.03494805,0.02756563
570.00000000,0.00944853,0.03519980,0.02765304
600.00000000,0.00945477,0.03545211,0.02783221
630.00000000,0.00949830,0.03556193,0.02784728
660.00000000,0.00950322,0.03557889,0.02785088
690.00000000,0.00951374,0.03560938,0.02785607
720.00000000,0.00954902,0.03567772,0.02786149
750.00000000,0.00956381,0.03583174,0.02793484
780.00000000,0.00957614,0.03590702,0.02808341
810.00000000,0.00957715,0.03597026,0.02813169
840.00000000,0.00957735,0.03601676,0.02818440
870.00000000,0.00958650,0.03602405,0.02821718
900.00000000,0.00958777,0.03606612,0.02824588
930.00000000,0.00959270,0.03611166,0.02826639
960.00000000,0.00959372,0.03631253,0.02843957
990.00000000,0.00959436,0.03669579,0.02885481
1020.00000000,0.00961196,0.03694316,0.02898782
1050.00000000,0.00962471,0.03706995,0.02904695
1080.00000000,0.00964147,0.03724341,0.02912933
1110.00000000,0.00969184,0.03733131,0.02913452
1140.00000000,0.00971994,0.03739113,0.02914044
1170.00000000,0.00983117,0.03744600,0.02915030
1200.00000000,0.00990208,0.03755256,0.02915391
1230.00000000,0.00991457,0.03760595,0.02916814
1260.00000000,0.00997217,0.03766693,0.02916819
