times, Ki67_negative_std, Ki67_positive_premitotic_std, Ki67_positive_postmitotic_std, apoptotic_std, necrotic_std
930.00000000,8.62844134,5.67802783,7.59539334,0.00000000,0.00000000
960.00000000,8.07217443,6.09590026,8.43563868,0.00000000,0.00000000
990.00000000,8.39583230,4.72122865,10.39038017,0.00000000,0.00000000
1020.00000000,7.91517530,5.44885309,9.83056458,0.00000000,0.00000000
1050.00000000,8.34805367,5.05568986,8.27103379,0.00000000,0.00000000
1080.00000000,8.22435408,4.63033476,10.50904372,0.00000000,0.00000000
1110.00000000,9.46572765,6.88186021,7.44378936,0.00000000,0.00000000
1140.00000000,7.40877858,9.38296328,6.52763357,0.00000000,0.00000000
1170.00000000,6.19758017,9.88736568,6.11228272,0.00000000,0.00000000
1200.00000000,6.49307323,10.26450194,5.90254183,0.00000000,0.00000000
1230.00000000,9.60416576,10.62261738,6.20966988,0.00000000,0.00000000
1260.00000000,10.51142236,9.30000000,7.44916103,0.00000000,0.00000000
1290.00000000,8.81135631,9.08019824,8.01810451,0.00000000,0.00000000
1320.00000000,9.51892851,9.26282894,9.65608616,0.00000000,0.00000000
1350.00000000,11.01862060,11.22541759,7.35934780,0.00000000,0.00000000
1380.00000000,9.41328848,12.69803134,7.93725393,0.00000000,0.00000000
1410.00000000,9.74884609,12.77849756,13.41827113,0.00000000,0.00000000
1440.00000000,6.77052435,11.49782588,12.68069399,0.00000000,0.00000000
1470.00000000,6.70894925,10.10742301,11.68118145,0.00000000,0.00000000
1500.00000000,7.25878778,10.86093919,9.30000000,0.00000000,0.00000000
1530.00000000,6.99714227,11.32960723,6.38748777,0.00000000,0.00000000
1560.00000000,6.31268564,11.63615057,7.55049667,0.00000000,0.00000000
1590.00000000,7.34098086,12.37295438,8.50000000,0.00000000,0.00000000
1620.00000000,9.03548560,10.83005078,11.22898036,0.00000000,0.00000000
1650.00000000,7.80000000,10.94714575,13.33004126,0.00000000,0.00000000
1680.00000000,9.24121204,8.71550343,11.78303866,0.00000000,0.00000000
1710.00000000,11.71324037,11.62282238,11.13956911,0.00000000,0.00000000
1740.00000000,12.65859392,11.19642800,12.21310771,0.00000000,0.00000000
1770.00000000,11.89495691,12.22129289,13.77279928,0.00000000,0.00000000
1800.00000000,13.90719238,12.93870164,13.04952106,0.00000000,0.00000000
1830.00000000,11.66576187,13.46254062,13.82353066,0.00000000,0.00000000
1860.00000000,11.66018868,14.59760254,9.74114983,0.00000000,0.00000000
1890.00000000,15.94521872,13.13811250,7.02068373,0.00000000,0.00000000
1920.00000000,13.82027496,17.48828179,9.74730732,0.00000000,0.00000000
1950.00000000,12.75970219,18.17718350,9.94987437,0.00000000,0.00000000
1980.00000000,15.23942256,15.06685103,10.11385189,0.00000000,0.00000000
2010.00000000,18.84913791,13.88560406,10.71447619,0.00000000,0.00000000
2040.00000000,19.56425312,15.99874995,10.65316854,0.00000000,0.00000000
2070.00000000,18.65180956,15.33264491,13.24424403,0.00000000,0.00000000
2100.00000000,16.25546062,16.26068879,12.30812740,0.00000000,0.00000000
2130.00000000,17.32887763,15.71018778,13.77824372,0.00000000,0.00000000
2160.00000000,14.88757872,17.16071094,10.40000000,0.00000000,0.00000000
2190.00000000,13.65869686,19.08428673,11.14854251,0.00000000,0.00000000
2220.00000000,11.66361865,24.02519511,9.71802449,0.00000000,0.00000000
2250.00000000,14.29825164,23.95015658,7.36274405,0.00000000,0.00000000
2280.00000000,15.14628667,25.56736201,10.43120319,0.00000000,0.00000000
2310.00000000,14.76787053,26.55955572,13.75645303,0.00000000,0.00000000
2340.00000000,17.76400856,27.67742763,15.12084654,0.00000000,0.00000000
2370.00000000,16.84784853,29.18921034,13.59006990,0.00000000,0.00000000
2400.00000000,19.41674535,28.46559327,13.86217876,0.00000000,0.00000000
2430.00000000,19.96597105,27.32050512,15.41946821,0.00000000,0.00000000
2460.00000000,15.96903253,29.35234233,17.52968910,0.00000000,0.00000000
2490.00000000,17.97220076,29.11082273,13.46439750,0.00000000,0.00000000
2520.00000000,14.42948371,30.42696173,12.76910334,0.00000000,0.00000000
2550.00000000,12.50759769,25.01919263,13.38245120,0.00000000,0.00000000
2580.00000000,12.58928116,22.79671029,14.70510116,0.00000000,0.00000000
2610.00000000,10.02447006,24.85336999,14.58800877,0.00000000,0.00000000
2640.00000000,15.89370945,24.46814255,11.68075340,0.00000000,0.00000000
2670.00000000,15.60640894,26.81809091,13.32816567,0.00000000,0.00000000
2700.00000000,14.37671729,29.15150082,14.80405350,0.00000000,0.00000000
2730.00000000,12.82341608,27.82444968,17.38648901,0.00000000,0.00000000
2760.00000000,15.06784656,27.95424834,15.75436447,0.00000000,0.00000000
2790.00000000,15.31143364,27.37608445,13.64734406,0.00000000,0.00000000
2820.00000000,16.18023486,26.60902103,12.95723736,0.00000000,0.00000000
2850.00000000,17.86868770,25.93858130,13.78441149,0.00000000,0.00000000
2880.00000000,21.59629598,26.06990602,14.00142850,0.00000000,0.00000000
2910.00000000,22.72795635,27.23325173,13.29699214,0.00000000,0.00000000
2940.00000000,20.86743875,29.10051546,8.17373843,0.00000000,0.00000000
2970.00000000,21.16506556,31.55376364,13.89100428,0.00000000,0.00000000
3000.00000000,19.36904747,30.43501273,10.78888317,0.00000000,0.00000000
3030.00000000,17.35079249,31.96576293,15.06021248,0.00000000,0.00000000
3060.00000000,14.11559421,34.56313065,16.89408180,0.00000000,0.00000000
3090.00000000,19.76765034,31.55883395,19.88190132,0.00000000,0.00000000
3120.00000000,21.01071155,27.30128202,25.12449004,0.00000000,0.00000000
3150.00000000,25.69610865,26.92229559,24.77418011,0.00000000,0.00000000
3180.00000000,25.60000000,26.11532117,28.69860624,0.00000000,0.00000000
3210.00000000,23.69388107,31.61407914,24.68785126,0.00000000,0.00000000
3240.00000000,30.11461439,27.61159177,24.04183853,0.00000000,0.00000000
3270.00000000,27.57245002,27.16983622,27.52544278,0.00000000,0.00000000
3300.00000000,27.74545008,29.31893586,27.32782465,0.00000000,0.00000000
3330.00000000,26.25661821,37.67014733,22.62763797,0.00000000,0.00000000
3360.00000000,27.06455246,38.39479131,25.78158257,0.00000000,0.00000000
3390.00000000,29.26431274,38.10196845,20.96091601,0.00000000,0.00000000
3420.00000000,33.86797898,38.29673615,17.77892010,0.00000000,0.00000000
3450.00000000,32.07506820,42.99825578,21.49906975,0.00000000,0.00000000
3480.00000000,32.74446518,45.01655251,19.51947745,0.00000000,0.00000000
3510.00000000,32.99090784,46.40258613,26.71347974,0.00000000,0.00000000
3540.00000000,39.18022460,42.26689012,22.15039503,0.00000000,0.00000000
3570.00000000,35.84145644,40.22499223,23.84302833,0.00000000,0.00000000
3600.00000000,34.50854967,39.73524884,24.60670640,0.00000000,0.00000000
