times, Ki67_negative_std, Ki67_positive_premitotic_std, Ki67_positive_postmitotic_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,4.18210473,3.16385840,3.65513338,0.00000000,0.00000000
60.00000000,3.72021505,4.12431813,4.58257569,0.00000000,0.00000000
90.00000000,3.34664011,4.02616443,4.73392015,0.00000000,0.00000000
120.00000000,2.10713075,3.72155881,4.52106182,0.00000000,0.00000000
150.00000000,3.40734501,5.11957029,5.62938718,0.00000000,0.00000000
180.00000000,3.35261092,4.87954916,5.57584074,0.00000000,0.00000000
210.00000000,3.83275358,4.98096376,4.59238500,0.00000000,0.00000000
240.00000000,4.54312668,6.69701426,4.90815648,0.00000000,0.00000000
270.00000000,6.41560597,6.21369455,4.10365691,0.00000000,0.00000000
300.00000000,6.35609943,7.57693870,4.80000000,0.00000000,0.00000000
330.00000000,7.07177488,8.20060973,5.79741322,0.00000000,0.00000000
360.00000000,6.03324125,5.90254183,5.49636243,0.00000000,0.00000000
390.00000000,6.26817358,6.12290781,4.91528229,0.00000000,0.00000000
420.00000000,7.85429819,6.43117408,6.03406994,0.00000000,0.00000000
450.00000000,7.59275971,6.96850056,6.44980620,0.00000000,0.00000000
480.00000000,7.21387552,6.35688603,7.29383301,0.00000000,0.00000000
510.00000000,5.72800140,7.44580419,9.37069901,0.00000000,0.00000000
540.00000000,5.45527268,6.21610811,7.78203058,0.00000000,0.00000000
570.00000000,6.14898366,4.73286383,5.40000000,0.00000000,0.00000000
600.00000000,6.46219777,4.90407993,6.42572953,0.00000000,0.00000000
630.00000000,6.95413546,4.27668096,5.91945943,0.00000000,0.00000000
660.00000000,5.14295635,4.58693798,7.87146746,0.00000000,0.00000000
690.00000000,4.24852916,4.76340215,9.73087869,0.00000000,0.00000000
720.00000000,6.26418391,5.62938718,8.72066511,0.00000000,0.00000000
750.00000000,5.66480362,6.94334213,7.36545993,0.00000000,0.00000000
780.00000000,6.51152824,7.45385806,9.36002137,0.00000000,0.00000000
810.00000000,6.77052435,7.77753174,7.32461603,0.00000000,0.00000000
840.00000000,8.41961994,7.78716893,6.40000000,0.00000000,0.00000000
870.00000000,7.47060908,7.32188500,8.40535544,0.00000000,0.00000000
900.00000000,8.67409938,7.47328576,7.87972081,0.00000000,0.00000000
