times, live_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,1.75783958,0.00000000,0.00000000
60.00000000,2.41039416,0.00000000,0.00000000
90.00000000,1.64012195,0.00000000,0.00000000
120.00000000,2.11896201,0.00000000,0.00000000
150.00000000,2.29128785,0.00000000,0.00000000
180.00000000,3.41174442,0.00000000,0.00000000
210.00000000,4.02988834,0.00000000,0.00000000
240.00000000,4.87442304,0.00000000,0.00000000
270.00000000,5.74804315,0.00000000,0.00000000
300.00000000,6.08358447,0.00000000,0.00000000
330.00000000,5.53534100,0.00000000,0.00000000
360.00000000,6.06712452,0.00000000,0.00000000
390.00000000,6.22976725,0.00000000,0.00000000
420.00000000,6.77938050,0.00000000,0.00000000
450.00000000,7.89240141,0.00000000,0.00000000
480.00000000,7.97245257,0.00000000,0.00000000
510.00000000,8.61684397,0.00000000,0.00000000
540.00000000,9.04488806,0.00000000,0.00000000
570.00000000,9.40212742,0.00000000,0.00000000
600.00000000,9.54201237,0.00000000,0.00000000
630.00000000,10.03244736,0.00000000,0.00000000
660.00000000,10.14889157,0.00000000,0.00000000
690.00000000,10.76150547,0.00000000,0.00000000
720.00000000,11.01135777,0.00000000,0.00000000
750.00000000,10.26839812,0.00000000,0.00000000
780.00000000,10.79861102,0.00000000,0.00000000
810.00000000,10.85403151,0.00000000,0.00000000
840.00000000,10.46183540,0.00000000,0.00000000
870.00000000,10.24158191,0.00000000,0.00000000
900.00000000,10.59481005,0.00000000,0.00000000
930.00000000,10.99136024,0.00000000,0.00000000
960.00000000,10.74057727,0.00000000,0.00000000
990.00000000,11.42628549,0.00000000,0.00000000
1020.00000000,10.99136024,0.00000000,0.00000000
1050.00000000,11.02769242,0.00000000,0.00000000
1080.00000000,11.17855089,0.00000000,0.00000000
1110.00000000,12.29471431,0.00000000,0.00000000
1140.00000000,13.04032208,0.00000000,0.00000000
1170.00000000,14.37393474,0.00000000,0.00000000
1200.00000000,13.85243661,0.00000000,0.00000000
1230.00000000,14.86102285,0.00000000,0.00000000
1260.00000000,16.59035865,0.00000000,0.00000000
1290.00000000,15.85717503,0.00000000,0.00000000
1320.00000000,15.87576770,0.00000000,0.00000000
1350.00000000,17.16508083,0.00000000,0.00000000
1380.00000000,18.14938015,0.00000000,0.00000000
1410.00000000,17.73132821,0.00000000,0.00000000
1440.00000000,18.04577513,0.00000000,0.00000000
1470.00000000,17.96691404,0.00000000,0.00000000
1500.00000000,18.46185256,0.00000000,0.00000000
1530.00000000,19.09162120,0.00000000,0.00000000
1560.00000000,20.20123759,0.00000000,0.00000000
1590.00000000,21.11302915,0.00000000,0.00000000
1620.00000000,22.07283398,0.00000000,0.00000000
1650.00000000,23.28626204,0.00000000,0.00000000
1680.00000000,24.33700885,0.00000000,0.00000000
1710.00000000,25.87759649,0.00000000,0.00000000
1740.00000000,27.43647208,0.00000000,0.00000000
1770.00000000,27.84169535,0.00000000,0.00000000
1800.00000000,29.10601312,0.00000000,0.00000000
1830.00000000,28.87022688,0.00000000,0.00000000
1860.00000000,29.08195317,0.00000000,0.00000000
1890.00000000,29.32251695,0.00000000,0.00000000
1920.00000000,29.90735695,0.00000000,0.00000000
1950.00000000,30.96594904,0.00000000,0.00000000
1980.00000000,32.08426406,0.00000000,0.00000000
2010.00000000,33.04375887,0.00000000,0.00000000
2040.00000000,33.55905243,0.00000000,0.00000000
2070.00000000,34.17733167,0.00000000,0.00000000
2100.00000000,36.26858144,0.00000000,0.00000000
2130.00000000,37.75235092,0.00000000,0.00000000
2160.00000000,38.01960021,0.00000000,0.00000000
2190.00000000,37.51053185,0.00000000,0.00000000
2220.00000000,39.26117675,0.00000000,0.00000000
2250.00000000,38.51610053,0.00000000,0.00000000
2280.00000000,41.63700277,0.00000000,0.00000000
2310.00000000,42.25647879,0.00000000,0.00000000
2340.00000000,44.62835422,0.00000000,0.00000000
2370.00000000,45.10388010,0.00000000,0.00000000
2400.00000000,45.93702211,0.00000000,0.00000000
2430.00000000,45.16868384,0.00000000,0.00000000
2460.00000000,45.55392409,0.00000000,0.00000000
2490.00000000,46.05909248,0.00000000,0.00000000
2520.00000000,46.88507225,0.00000000,0.00000000
2550.00000000,46.96903235,0.00000000,0.00000000
2580.00000000,46.79198649,0.00000000,0.00000000
2610.00000000,47.91075036,0.00000000,0.00000000
2640.00000000,49.65118327,0.00000000,0.00000000
2670.00000000,51.39649794,0.00000000,0.00000000
2700.00000000,49.84736703,0.00000000,0.00000000
2730.00000000,49.48343157,0.00000000,0.00000000
2760.00000000,51.48358962,0.00000000,0.00000000
2790.00000000,52.42938108,0.00000000,0.00000000
2820.00000000,53.15411555,0.00000000,0.00000000
2850.00000000,53.43491368,0.00000000,0.00000000
2880.00000000,54.47761008,0.00000000,0.00000000
2910.00000000,59.45721151,0.00000000,0.00000000
2940.00000000,60.91994747,0.00000000,0.00000000
2970.00000000,61.30252850,0.00000000,0.00000000
3000.00000000,63.85170319,0.00000000,0.00000000
3030.00000000,64.51170436,0.00000000,0.00000000
3060.00000000,67.99742642,0.00000000,0.00000000
3090.00000000,66.30603291,0.00000000,0.00000000
3120.00000000,65.98371011,0.00000000,0.00000000
3150.00000000,69.77363399,0.00000000,0.00000000
3180.00000000,70.62584513,0.00000000,0.00000000
3210.00000000,71.58526385,0.00000000,0.00000000
3240.00000000,74.84357020,0.00000000,0.00000000
3270.00000000,75.94925938,0.00000000,0.00000000
3300.00000000,78.53846192,0.00000000,0.00000000
3330.00000000,77.01012920,0.00000000,0.00000000
3360.00000000,82.37815244,0.00000000,0.00000000
3390.00000000,82.36777282,0.00000000,0.00000000
3420.00000000,84.24304126,0.00000000,0.00000000
3450.00000000,89.93336422,0.00000000,0.00000000
3480.00000000,89.42505242,0.00000000,0.00000000
3510.00000000,90.45020730,0.00000000,0.00000000
3540.00000000,93.10617595,0.00000000,0.00000000
3570.00000000,95.50057591,0.00000000,0.00000000
3600.00000000,96.26572599,0.00000000,0.00000000
