times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
3270.0,251.9,307.8,132.0,29.6,17.2,0.0
3300.0,254.8,315.8,133.9,30.9,17.8,0.0
3330.0,262.9,324.1,134.9,29.9,18.2,0.0
3360.0,268.4,328.7,137.6,31.3,18.1,0.0
3390.0,270.4,334.7,142.5,32.1,19.0,0.0
3420.0,273.2,342.6,142.4,35.2,20.1,0.0
3450.0,278.2,349.7,149.4,32.1,20.7,0.0
3480.0,280.6,357.8,153.1,33.2,21.3,0.0
3510.0,283.6,364.0,156.1,35.8,21.8,0.0
3540.0,291.6,370.2,157.7,37.2,22.6,0.0
3570.0,297.0,375.7,161.1,40.1,22.3,0.0
3600.0,305.3,382.6,161.6,41.7,22.8,0.0
