times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00005075
60.00000000,0.00375865
90.00000000,0.00914777
120.00000000,0.01716032
150.00000000,0.02134945
180.00000000,0.02403817
210.00000000,0.02839403
240.00000000,0.03032127
270.00000000,0.03184375
300.00000000,0.03577604
330.00000000,0.03993847
360.00000000,0.04884176
390.00000000,0.05935087
420.00000000,0.06703003
450.00000000,0.07000191
480.00000000,0.07324984
510.00000000,0.07925051
540.00000000,0.09171648
570.00000000,0.10084750
600.00000000,0.10825456
630.00000000,0.11277452
660.00000000,0.11568758
690.00000000,0.11676986
720.00000000,0.11994892
750.00000000,0.12382762
780.00000000,0.12791076
810.00000000,0.13273750
840.00000000,0.13978427
870.00000000,0.14308011
900.00000000,0.14534088
930.00000000,0.15141544
960.00000000,0.15663428
990.00000000,0.16268718
1020.00000000,0.17156459
1050.00000000,0.18128347
1080.00000000,0.19217438
1110.00000000,0.20231419
1140.00000000,0.21358631
1170.00000000,0.22174193
1200.00000000,0.23188256
1230.00000000,0.24400708
1260.00000000,0.25177363
1290.00000000,0.25980030
1320.00000000,0.26990130
1350.00000000,0.27449875
1380.00000000,0.27498582
1410.00000000,0.27746055
1440.00000000,0.28399624
1470.00000000,0.28743914
1500.00000000,0.29046125
1530.00000000,0.29048221
1560.00000000,0.29183651
1590.00000000,0.29767091
1620.00000000,0.30086810
1650.00000000,0.30437059
1680.00000000,0.30821554
1710.00000000,0.31391856
1740.00000000,0.32051984
1770.00000000,0.32640227
1800.00000000,0.33334473
1830.00000000,0.33871967
1860.00000000,0.34501238
1890.00000000,0.35157947
1920.00000000,0.35261220
1950.00000000,0.35322490
1980.00000000,0.35608171
2010.00000000,0.35998561
2040.00000000,0.36485830
2070.00000000,0.36920612
2100.00000000,0.37653799
2130.00000000,0.38045194
2160.00000000,0.38331699
2190.00000000,0.38489240
2220.00000000,0.38587161
2250.00000000,0.38693350
2280.00000000,0.38764301
2310.00000000,0.38960808
2340.00000000,0.39027269
2370.00000000,0.39180861
2400.00000000,0.39542551
2430.00000000,0.39567144
2460.00000000,0.39641488
2490.00000000,0.39832744
2520.00000000,0.39924367
2550.00000000,0.40091082
2580.00000000,0.40363942
2610.00000000,0.41137099
2640.00000000,0.41511686
2670.00000000,0.41894321
2700.00000000,0.42217220
2730.00000000,0.42384492
2760.00000000,0.42482257
2790.00000000,0.42508909
2820.00000000,0.42522781
2850.00000000,0.42580280
2880.00000000,0.42983248
2910.00000000,0.43328334
2940.00000000,0.43679546
2970.00000000,0.44060228
3000.00000000,0.44381460
3030.00000000,0.44774225
3060.00000000,0.44998686
3090.00000000,0.45005800
3120.00000000,0.45084187
3150.00000000,0.45138733
3180.00000000,0.45211479
3210.00000000,0.45306323
3240.00000000,0.45314352
3270.00000000,0.45435429
3300.00000000,0.45497238
3330.00000000,0.45634523
3360.00000000,0.45880316
3390.00000000,0.46371609
3420.00000000,0.46855932
3450.00000000,0.47514878
3480.00000000,0.48027896
3510.00000000,0.48343761
3540.00000000,0.48458159
3570.00000000,0.48515904
3600.00000000,0.48660594
