times, tumor_cell_fraction_error
0.00000000,0.00000000
30.00000000,0.00101227
60.00000000,0.00681010
90.00000000,0.00709626
120.00000000,0.01673455
150.00000000,0.03826383
180.00000000,0.04846118
210.00000000,0.06925847
240.00000000,0.08926071
270.00000000,0.10841737
300.00000000,0.11566930
330.00000000,0.12350812
360.00000000,0.12454352
390.00000000,0.13232153
420.00000000,0.13988921
450.00000000,0.15877597
480.00000000,0.17690376
510.00000000,0.19564167
540.00000000,0.19638786
570.00000000,0.21012737
600.00000000,0.22407309
630.00000000,0.24188150
660.00000000,0.25344698
690.00000000,0.27037285
720.00000000,0.28581987
750.00000000,0.29697072
780.00000000,0.29947199
810.00000000,0.31400299
840.00000000,0.33009684
870.00000000,0.34929955
900.00000000,0.37331218
930.00000000,0.38518173
960.00000000,0.38913070
990.00000000,0.39425469
1020.00000000,0.39847203
1050.00000000,0.39894115
1080.00000000,0.40645419
1110.00000000,0.40921686
1140.00000000,0.41297794
1170.00000000,0.41469036
1200.00000000,0.42326601
1230.00000000,0.42741382
1260.00000000,0.43201549
1290.00000000,0.43912461
1320.00000000,0.44101319
1350.00000000,0.44962399
1380.00000000,0.46383705
1410.00000000,0.47424781
1440.00000000,0.48786315
1470.00000000,0.49619922
1500.00000000,0.51271315
1530.00000000,0.52501075
1560.00000000,0.53486391
1590.00000000,0.53999384
1620.00000000,0.54474593
1650.00000000,0.54654579
1680.00000000,0.55267061
1710.00000000,0.56179384
1740.00000000,0.56987359
1770.00000000,0.57556996
1800.00000000,0.58625928
1830.00000000,0.59457061
1860.00000000,0.59985127
1890.00000000,0.60038597
1920.00000000,0.60088090
1950.00000000,0.60356803
1980.00000000,0.61013948
2010.00000000,0.61334640
2040.00000000,0.61632213
2070.00000000,0.61666881
2100.00000000,0.61897999
2130.00000000,0.62177200
2160.00000000,0.62484464
2190.00000000,0.62586478
2220.00000000,0.63034166
2250.00000000,0.63510790
2280.00000000,0.64083829
2310.00000000,0.64592958
2340.00000000,0.65665018
2370.00000000,0.66025125
2400.00000000,0.66558816
2430.00000000,0.66800600
2460.00000000,0.67764487
2490.00000000,0.68613032
2520.00000000,0.69421747
2550.00000000,0.69571599
2580.00000000,0.69613833
2610.00000000,0.70079508
2640.00000000,0.70307792
2670.00000000,0.70480788
2700.00000000,0.71036797
2730.00000000,0.71931677
2760.00000000,0.72544080
2790.00000000,0.73198444
2820.00000000,0.73822457
2850.00000000,0.73831246
2880.00000000,0.74481858
2910.00000000,0.75241754
2940.00000000,0.75344344
2970.00000000,0.75689512
3000.00000000,0.76314099
3030.00000000,0.77243856
3060.00000000,0.77394236
3090.00000000,0.77469702
3120.00000000,0.77829849
3150.00000000,0.78154784
3180.00000000,0.78320670
3210.00000000,0.78893798
3240.00000000,0.78894162
3270.00000000,0.79015236
3300.00000000,0.79222035
3330.00000000,0.79529851
3360.00000000,0.79914989
3390.00000000,0.80688009
3420.00000000,0.81436181
3450.00000000,0.82440306
3480.00000000,0.83673085
3510.00000000,0.85018263
3540.00000000,0.86125640
3570.00000000,0.87073500
3600.00000000,0.87534944
