Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	0.11781273609901197	-823.0683825927287	-821.7826683070143	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	-800.7020582279547	0.0	1.0
2	0.2741305227879493	-696.8829180000157	-688.4829180000157	126.18546459271295	133.2997503069986	3.973511877122e-28	1.1332533232482681e-29	3.973511877122e-28	1.1332533232482681e-29	2.516665435826749e+27	8.824152371631073e+28	-640.9671070880809	159.73495113987383	2.0606112969116213e-35
