,mean,sd,hdi_3%,hdi_97%,mpv
c4,0.005313085871066,0.000140467237311,0.005082732270427,0.005566091945239,0.005284596244074775
c5,3.4851767347e-05,5.584635191e-06,2.9052665645e-05,4.1170728145e-05,2.928441799932665e-05
c8,-0.000560715049455,9.0253741893e-05,-0.000660914067417,-0.000466286765192,-0.0004706351947241115
c14,0.002263466708947,0.000362820528473,0.001877847980444,0.002663558834963,0.0019011384752030355
c17,0.000733629938095,1.3889085348e-05,0.000708546366992,0.000760022395838,0.00073476977739854
c20,1.5427742872e-05,1.390643954e-06,1.318178075e-05,1.7361686925e-05,1.67393243013617e-05
c21,-1.9395732581e-05,1.56128388e-06,-2.1856827594e-05,-1.6942743773e-05,-2.0962869575078732e-05
c24,5.338051167e-06,4.19641255e-07,4.663127894e-06,6.099277652e-06,5.013365952358464e-06
c32,0.000293355317001,1.3097407585e-05,0.000268624002715,0.000314623324314,0.00030140275554636786
c39,1.2824942558e-05,1.6612422e-07,1.2502506393e-05,1.3109228442e-05,1.2918699404361855e-05
c40,-5.2892501947e-05,1.372379996e-06,-5.5220025305e-05,-5.0678366529e-05,-5.1690086461633034e-05
c42,5.3459005216e-05,2.499602801e-06,4.9839389116e-05,5.7798235374e-05,5.092598620755679e-05
c48,0.000212795394195,1.853926824e-06,0.000209774435501,0.000216010866927,0.00021104414248647652
c57,7.18329469e-07,3.5566071e-08,6.5389401e-07,7.8062235e-07,7.278435668594786e-07
c58,-1.7253028223e-05,2.02387582e-07,-1.7630209226e-05,-1.6963950694e-05,-1.7105713183688083e-05
c59,5.156644619e-05,6.05208436e-07,5.0500967227e-05,5.2653735811e-05,5.1346842378613356e-05
G0G10,40.09467835037962,1.001929778274624,38.365209697772144,42.02021876732732,39.980292516218505
S0,40.71971879144322,0.794949948659588,39.2860205118508,42.271853690967475,40.829294404545124
G20,16.152578318214324,0.670388418462438,14.943306906930083,17.43337638838245,16.091237091514746
M0,3.962535470655402,0.066569406542458,3.850413942690553,4.085043130019882,3.945480438454354
std_deviation[0],6.318004792367582,0.502023931795859,5.387113800702143,7.246264656082631,6.269807132368706
std_deviation[1],4.87086700305806,0.392103046611757,4.166301030520043,5.603129466025583,4.848042088062907
std_deviation[2],3.10183645987689,0.372511793226268,2.447071803768664,3.75769426295752,2.8554857444664785
std_deviation[3],1.910963955468886,0.165354909576808,1.613922920595639,2.228407193887999,1.9150085357579596
