,mean,sd,hdi_3%,hdi_97%,mpv
c1,0.000444658791907,1.8073486936e-05,0.000411364786607,0.000475174443712,0.00043438947668770903
c4,0.002152354355333,0.000147751544004,0.001877322184306,0.002400620220366,0.002111313096168371
c6,0.001823456669922,8.4448412059e-05,0.00167926976815,0.001959819158358,0.001861029483218817
c7,-0.000819082298798,7.0813202591e-05,-0.000937536190577,-0.000703664407326,-0.0008519740164864044
c12,0.000714815872835,3.9227002645e-05,0.000647465588115,0.000776989186459,0.0007191042730008717
c13,-0.000977618376984,9.3089845367e-05,-0.001129657282077,-0.000823477264371,-0.0009888604686475845
c18,5.0868593222e-05,4.58847847e-07,5.0005015034e-05,5.1464324705e-05,5.12381450241594e-05
c19,0.000486756768864,1.80945993e-06,0.000483373585909,0.000489026065414,0.0004882541128655511
G0G10,35.7043465877234,0.310956994840134,35.12664682296632,36.30170445203014,35.69399925362132
S0,41.79466410049925,0.893210398030448,40.1510941330369,43.49833180023562,41.633644793947
G20,17.102491456588755,0.660350826633639,15.956594273336805,18.43632627177344,17.03847599715305
M0,4.695678500874881,0.049280689334885,4.612431771256058,4.784907930074406,4.690640263230771
std_deviation[0],4.897532120320755,0.322664616930333,4.280702918961,5.485306220310149,4.818190297046839
std_deviation[1],3.833005603921819,0.254139078583753,3.364210858264046,4.308787781517551,3.836907015568403
std_deviation[2],2.440618101473297,0.160787404509344,2.118728079643971,2.723813357254086,2.4466829105220835
std_deviation[3],1.371393459328714,0.089197105049022,1.210275125921751,1.544495352332626,1.3501878445912139
