,mean,sd,hdi_3%,hdi_97%,mpv
c1,-0.001419648506429,0.000133934216046,-0.001645951027756,-0.001205684977121,-0.0013457742688878494
c3,0.00263937434294,0.000166174982595,0.002383387382796,0.00293041737113,0.00254366423794228
c5,0.001750878311569,1.2488230968e-05,0.001728499020823,0.001772576670053,0.0017544466975200938
c6,-4.1877538474e-05,4.673049862e-06,-4.9239892548e-05,-3.4128601671e-05,-4.5794719677780066e-05
c10,0.000249746367569,9.18827904e-07,0.000248050532641,0.000251503909869,0.0002497166924376518
c11,-1.729429111e-06,1.96500399e-07,-2.034120055e-06,-1.398053961e-06,-1.960520263715174e-06
Ki67_neg0,29.356408711700105,0.485220433271499,28.451726301514213,29.967938352229584,29.72569122866833
Ki67_pos_pre0,64.07640031682598,0.667839128945809,62.85668950443057,65.34403412127034,64.00777278857153
Ki67_pos_post0,22.581210660106905,0.140723284046692,22.327004794206367,22.7655429356917,22.678219195244843
std_deviation[0],4.636160164767125,0.307718930864115,4.112157318555256,5.266707672858864,4.621510869023377
std_deviation[1],4.136225083218,0.270464786917637,3.665755168237406,4.660705637362385,4.126807290366116
std_deviation[2],3.924212285339066,0.255288291619989,3.4563855451909,4.402420653390034,3.860483928603302
