,mean,sd,hdi_3%,hdi_97%,mpv
c1,0.003315699815575,0.000401869236859,0.002857189301159,0.003782119923417,0.0029154801483670303
c2,-0.001148799955776,0.000128083507833,-0.001321307108756,-0.001020232083052,-0.0010249213693809874
c3,-0.000165232779733,7.504715136e-06,-0.000174370485021,-0.00015489333797,-0.0001725808599210282
c4,0.000139243304313,4.578356693e-06,0.000132981937943,0.000146342009022,0.00013498373003138607
c5,-2.8799234781e-05,7.50039902e-07,-3.0313909147e-05,-2.7952055997e-05,-2.8320396572614333e-05
c7,-0.001649737876723,5.0297669436e-05,-0.001739969811252,-0.001565808843428,-0.001635383199521299
c8,0.001493432423407,5.4950430123e-05,0.00139846562065,0.00157131776278,0.0015261729360937205
c9,0.0001325164907,1.6870732812e-05,0.000113490876733,0.000151807788123,0.00011567221410366744
c10,-0.000118665643425,1.2299759901e-05,-0.000135915585225,-0.0001050736082,-0.00010668068502074735
c11,2.6406616929e-05,2.205076313e-06,2.4168831581e-05,3.0489589942e-05,2.4499938904453673e-05
Ki67_neg0,43.206576917377056,1.871903351560574,40.11766950412935,46.59120704464404,44.396056500216105
Ki67_pos0,77.89005106943718,4.906875971005817,70.24321040608956,83.81689870986898,82.4596469074466
std_deviation[0],7.295329870157273,0.843864434846878,5.82120714334989,8.90079219097948,7.055970027760424
std_deviation[1],7.91152430318505,3.139103290317752,3.884602939325692,12.269181254089615,4.850381737370498
