times, G0G1_phase_mean, S_phase_mean, G2_phase_mean, M_phase_mean, apoptotic_mean, necrotic_mean
3180.0,2322.5,2796.6,1184.3,291.6,153.5,0.0
3210.0,2381.8,2855.3,1196.6,299.9,157.7,0.0
3240.0,2433.7,2910.0,1226.5,299.6,161.3,0.0
3270.0,2473.0,2974.6,1250.3,306.2,163.7,0.0
3300.0,2527.4,3032.3,1279.8,307.2,165.2,0.0
3330.0,2570.8,3094.4,1302.1,318.1,170.2,0.0
3360.0,2613.4,3168.3,1325.4,324.0,172.6,0.0
3390.0,2652.0,3232.2,1354.9,335.3,175.9,0.0
3420.0,2717.5,3281.3,1396.1,335.9,179.7,0.0
3450.0,2789.4,3335.1,1426.4,340.0,181.6,0.0
3480.0,2845.5,3399.3,1460.3,343.3,186.2,0.0
3510.0,2898.0,3467.4,1498.2,349.2,189.8,0.0
3540.0,2933.2,3540.8,1536.6,361.7,191.0,0.0
3570.0,2984.2,3617.5,1569.3,370.9,193.4,0.0
3600.0,3048.0,3689.6,1592.2,384.4,194.6,0.0
