times, Ki67_negative_absolute_error, Ki67_positive_premitotic_absolute_error, Ki67_positive_postmitotic_absolute_error
3330.00000000,0.36080526,0.58186896,0.52920288
3360.00000000,0.36698411,0.58994708,0.53110213
3390.00000000,0.37066305,0.59511155,0.53258767
3420.00000000,0.37498283,0.60047319,0.53362953
3450.00000000,0.37976147,0.60424026,0.53464110
3480.00000000,0.38540083,0.60654570,0.53797502
3510.00000000,0.38918000,0.60663430,0.54166560
3540.00000000,0.39129061,0.60697814,0.54412003
3570.00000000,0.39174987,0.60744697,0.54504812
3600.00000000,0.39302640,0.60967592,0.54855360
