times, live_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.50000000,0.00000000,0.00000000
60.00000000,1.11803399,0.00000000,0.00000000
90.00000000,1.42828569,0.00000000,0.00000000
120.00000000,0.87177979,0.00000000,0.00000000
150.00000000,1.49666295,0.00000000,0.00000000
180.00000000,1.85472370,0.00000000,0.00000000
210.00000000,2.37486842,0.00000000,0.00000000
240.00000000,2.28254244,0.00000000,0.00000000
270.00000000,2.72213152,0.00000000,0.00000000
300.00000000,2.80000000,0.00000000,0.00000000
330.00000000,2.76586334,0.00000000,0.00000000
360.00000000,3.13049517,0.00000000,0.00000000
390.00000000,3.23109888,0.00000000,0.00000000
420.00000000,3.06757233,0.00000000,0.00000000
450.00000000,3.55527777,0.00000000,0.00000000
480.00000000,3.57770876,0.00000000,0.00000000
510.00000000,3.64554523,0.00000000,0.00000000
540.00000000,3.67287353,0.00000000,0.00000000
570.00000000,4.11825206,0.00000000,0.00000000
600.00000000,4.36004587,0.00000000,0.00000000
630.00000000,4.67332858,0.00000000,0.00000000
660.00000000,5.40370243,0.00000000,0.00000000
690.00000000,5.25737577,0.00000000,0.00000000
720.00000000,5.33010319,0.00000000,0.00000000
750.00000000,6.16441400,0.00000000,0.00000000
780.00000000,5.94642750,0.00000000,0.00000000
810.00000000,6.30000000,0.00000000,0.00000000
840.00000000,7.13372273,0.00000000,0.00000000
870.00000000,7.56372924,0.00000000,0.00000000
900.00000000,8.67698104,0.00000000,0.00000000
930.00000000,8.74356907,0.00000000,0.00000000
960.00000000,8.70861642,0.00000000,0.00000000
990.00000000,8.91122887,0.00000000,0.00000000
1020.00000000,9.46784030,0.00000000,0.00000000
1050.00000000,9.52102936,0.00000000,0.00000000
1080.00000000,9.27846970,0.00000000,0.00000000
1110.00000000,9.96794864,0.00000000,0.00000000
1140.00000000,10.25475499,0.00000000,0.00000000
1170.00000000,10.85541340,0.00000000,0.00000000
1200.00000000,10.25719260,0.00000000,0.00000000
1230.00000000,10.57355191,0.00000000,0.00000000
1260.00000000,11.14495402,0.00000000,0.00000000
1290.00000000,11.44377560,0.00000000,0.00000000
1320.00000000,12.58610345,0.00000000,0.00000000
1350.00000000,12.60317420,0.00000000,0.00000000
1380.00000000,12.22947260,0.00000000,0.00000000
1410.00000000,12.36486959,0.00000000,0.00000000
1440.00000000,13.13925416,0.00000000,0.00000000
1470.00000000,12.74715655,0.00000000,0.00000000
1500.00000000,13.56650287,0.00000000,0.00000000
1530.00000000,13.84918770,0.00000000,0.00000000
1560.00000000,14.47204201,0.00000000,0.00000000
1590.00000000,15.21216618,0.00000000,0.00000000
1620.00000000,16.15673234,0.00000000,0.00000000
1650.00000000,15.79746815,0.00000000,0.00000000
1680.00000000,15.90251552,0.00000000,0.00000000
1710.00000000,16.19536971,0.00000000,0.00000000
1740.00000000,16.86890631,0.00000000,0.00000000
1770.00000000,17.75837830,0.00000000,0.00000000
1800.00000000,17.69208863,0.00000000,0.00000000
1830.00000000,18.40679222,0.00000000,0.00000000
1860.00000000,19.58800653,0.00000000,0.00000000
1890.00000000,20.16829195,0.00000000,0.00000000
1920.00000000,20.37866531,0.00000000,0.00000000
1950.00000000,20.34428667,0.00000000,0.00000000
1980.00000000,21.77705214,0.00000000,0.00000000
2010.00000000,21.21414622,0.00000000,0.00000000
2040.00000000,22.48910847,0.00000000,0.00000000
2070.00000000,23.40170934,0.00000000,0.00000000
2100.00000000,23.44269609,0.00000000,0.00000000
2130.00000000,24.47631508,0.00000000,0.00000000
2160.00000000,24.47937908,0.00000000,0.00000000
2190.00000000,25.26440183,0.00000000,0.00000000
2220.00000000,25.63610735,0.00000000,0.00000000
2250.00000000,26.22003051,0.00000000,0.00000000
2280.00000000,25.58534737,0.00000000,0.00000000
2310.00000000,26.92136698,0.00000000,0.00000000
2340.00000000,26.66158285,0.00000000,0.00000000
2370.00000000,27.30860670,0.00000000,0.00000000
2400.00000000,27.72435752,0.00000000,0.00000000
2430.00000000,28.44802278,0.00000000,0.00000000
2460.00000000,27.88978308,0.00000000,0.00000000
2490.00000000,29.13760457,0.00000000,0.00000000
2520.00000000,29.58732837,0.00000000,0.00000000
2550.00000000,29.05529212,0.00000000,0.00000000
2580.00000000,29.97999333,0.00000000,0.00000000
2610.00000000,31.08070141,0.00000000,0.00000000
2640.00000000,30.69788266,0.00000000,0.00000000
2670.00000000,30.10581339,0.00000000,0.00000000
2700.00000000,32.37838785,0.00000000,0.00000000
2730.00000000,33.26274192,0.00000000,0.00000000
2760.00000000,32.10685285,0.00000000,0.00000000
2790.00000000,32.18835193,0.00000000,0.00000000
2820.00000000,34.11876317,0.00000000,0.00000000
2850.00000000,34.25259114,0.00000000,0.00000000
2880.00000000,35.00285703,0.00000000,0.00000000
2910.00000000,35.47689389,0.00000000,0.00000000
2940.00000000,35.78491302,0.00000000,0.00000000
2970.00000000,36.31748890,0.00000000,0.00000000
3000.00000000,37.36254809,0.00000000,0.00000000
3030.00000000,38.05114979,0.00000000,0.00000000
3060.00000000,39.09680294,0.00000000,0.00000000
3090.00000000,40.66890704,0.00000000,0.00000000
3120.00000000,41.67733197,0.00000000,0.00000000
3150.00000000,43.44145486,0.00000000,0.00000000
3180.00000000,44.83090452,0.00000000,0.00000000
3210.00000000,46.32288851,0.00000000,0.00000000
3240.00000000,48.56294884,0.00000000,0.00000000
3270.00000000,50.91453623,0.00000000,0.00000000
3300.00000000,51.68752267,0.00000000,0.00000000
3330.00000000,53.31416322,0.00000000,0.00000000
3360.00000000,53.68575230,0.00000000,0.00000000
3390.00000000,54.48715445,0.00000000,0.00000000
