times, G0G1_phase_csse, S_phase_csse, G2_phase_csse, M_phase_csse
3090.00000000,0.00310224,0.00300735,0.00213791,0.00041172
3120.00000000,0.00311567,0.00300867,0.00214918,0.00041384
3150.00000000,0.00312483,0.00300933,0.00215184,0.00041418
3180.00000000,0.00312535,0.00300936,0.00215346,0.00041433
3210.00000000,0.00313103,0.00300963,0.00215377,0.00041605
3240.00000000,0.00314478,0.00300975,0.00215799,0.00041774
3270.00000000,0.00315880,0.00301361,0.00215909,0.00041828
3300.00000000,0.00316260,0.00301369,0.00216061,0.00041846
3330.00000000,0.00316419,0.00301412,0.00216435,0.00041846
3360.00000000,0.00316463,0.00301764,0.00217133,0.00041847
3390.00000000,0.00316970,0.00302219,0.00219101,0.00041848
3420.00000000,0.00317014,0.00302935,0.00220154,0.00042001
3450.00000000,0.00317837,0.00303219,0.00221447,0.00042093
3480.00000000,0.00318321,0.00303247,0.00221525,0.00042435
3510.00000000,0.00318533,0.00303273,0.00221528,0.00042899
3540.00000000,0.00318585,0.00304204,0.00221543,0.00043636
3570.00000000,0.00319883,0.00305265,0.00221815,0.00043806
3600.00000000,0.00320523,0.00305543,0.00221883,0.00043806
