,mean,sd,hdi_3%,hdi_97%,mpv
c1,-0.004514257201787,0.000147132957287,-0.004687766356789,-0.004277929718832,-0.00465027833403799
c2,0.002542565415515,4.4004241769e-05,0.002465609301819,0.002617893860893,0.002559894253483652
c3,0.000403391030512,5.989974006e-06,0.000396362566488,0.000414765325607,0.0003986227332414953
c4,-0.000431301342977,1.7715332774e-05,-0.000450674458768,-0.000407603346141,-0.00044856974783486744
c5,0.000115474188615,1.0287243823e-05,0.000103045225407,0.000126260259268,0.0001256758016127406
c7,0.003920832908598,0.000272873210202,0.003590554661937,0.004298233572116,0.0036543446161435475
c8,-0.001155357578863,0.000186363301218,-0.001385537421573,-0.000965167510477,-0.0009711625985162333
c9,-0.000293401690671,1.4015730402e-05,-0.000313433294572,-0.000279541371689,-0.0002800637312755607
c10,0.000313705335953,7.013440327e-06,0.000298948268556,0.000320925125689,0.00031850536881235453
c11,-8.4230344876e-05,6.341409459e-06,-9.0698245229e-05,-7.5134811014e-05,-9.034508322278151e-05
Ki67_neg0,16.287656815138128,0.580597564241368,15.281275028199891,16.82706559192496,16.754331344103694
Ki67_pos0,23.42256121338778,0.820224635622563,22.235949776550807,24.72841092540241,22.661170369411405
std_deviation[0],2.408199451711549,0.188010767400869,2.041061604875069,2.750097423167218,2.3004135539382524
std_deviation[1],1.66953678168178,0.163341400797525,1.360540603241656,1.951439666392524,1.6704751603803039
