times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
2670.00000000,1.27618533,0.97803640,0.82582283,0.48306793
2700.00000000,1.27955649,0.98594671,0.82668205,0.48674786
2730.00000000,1.29144515,0.99249032,0.82985307,0.48892189
2760.00000000,1.30639847,1.00242758,0.83335689,0.49043414
2790.00000000,1.31778820,1.01921086,0.84171485,0.49339856
2820.00000000,1.31853746,1.03004007,0.84801297,0.49718041
2850.00000000,1.32140371,1.03672912,0.85162758,0.50312108
2880.00000000,1.32483834,1.04289598,0.85936916,0.50498099
2910.00000000,1.33079429,1.05042549,0.86582711,0.50986538
2940.00000000,1.33737250,1.05246009,0.87629080,0.51171627
2970.00000000,1.35053538,1.06508471,0.87908771,0.51505144
3000.00000000,1.36078430,1.07735006,0.88455694,0.51850425
3030.00000000,1.36976944,1.09061015,0.88902583,0.51869819
3060.00000000,1.37972923,1.10636662,0.89194872,0.52157198
3090.00000000,1.39447947,1.12238854,0.89230839,0.52248399
3120.00000000,1.40682573,1.13340199,0.89267923,0.52418764
3150.00000000,1.41337978,1.13513217,0.90131733,0.52800188
3180.00000000,1.42265487,1.13564063,0.91564695,0.53356486
3210.00000000,1.43519345,1.14107974,0.93276044,0.53442908
3240.00000000,1.45207436,1.14130803,0.94960989,0.53468882
3270.00000000,1.46955429,1.14160220,0.96261114,0.53887334
3300.00000000,1.48706822,1.14283053,0.97337019,0.54439990
3330.00000000,1.50014609,1.14732404,0.98331138,0.55203010
3360.00000000,1.50881142,1.15365867,0.99195389,0.55838755
3390.00000000,1.51299276,1.16429489,0.99511808,0.56167824
3420.00000000,1.52084489,1.17136544,0.99677703,0.56255561
3450.00000000,1.52777253,1.17146164,0.99962120,0.56654288
3480.00000000,1.52918235,1.17504682,1.00366312,0.57557979
3510.00000000,1.53518937,1.17753003,1.01129394,0.57968681
3540.00000000,1.54693834,1.18903836,1.01219866,0.58035089
3570.00000000,1.55478570,1.19932281,1.01240995,0.58257668
3600.00000000,1.55880054,1.19968834,1.01905698,0.58557441
