times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00361924,0.00066091,0.00285065,0.00010768
60.00000000,0.02731003,0.03542553,0.01321085,0.00082131
90.00000000,0.04927520,0.07516541,0.02898036,0.00282650
120.00000000,0.06985887,0.10687590,0.03883558,0.00409811
150.00000000,0.08639720,0.11622460,0.04983736,0.00791027
180.00000000,0.09432510,0.12694243,0.05371341,0.01457625
210.00000000,0.10956576,0.14002574,0.05937639,0.01808189
240.00000000,0.11256626,0.15018357,0.06027100,0.02613382
270.00000000,0.11658435,0.16604912,0.07053103,0.02772124
300.00000000,0.12143271,0.18855787,0.08630190,0.03930748
330.00000000,0.13187042,0.21478149,0.10204422,0.03935106
360.00000000,0.13736022,0.22643920,0.10327286,0.04429034
390.00000000,0.16734101,0.24975097,0.10425482,0.04997739
420.00000000,0.20011337,0.28636933,0.10933730,0.05121387
450.00000000,0.21636537,0.30552307,0.11461548,0.05939379
480.00000000,0.21896027,0.30666046,0.11968738,0.06300818
510.00000000,0.22133675,0.31211035,0.12247187,0.06886608
540.00000000,0.22840712,0.31486209,0.12902590,0.07973873
570.00000000,0.24008469,0.32882284,0.12968158,0.08136623
600.00000000,0.27359695,0.34904734,0.13066199,0.09367357
630.00000000,0.30971519,0.36985549,0.13755758,0.10208809
660.00000000,0.32242306,0.37402011,0.14260398,0.10558494
690.00000000,0.35765420,0.38660389,0.16011263,0.11072365
720.00000000,0.40477029,0.41290640,0.17405081,0.11759906
750.00000000,0.43827862,0.42196816,0.19336618,0.12273026
780.00000000,0.45778279,0.42335520,0.19498652,0.14246774
810.00000000,0.46250061,0.43951099,0.20726887,0.15105900
840.00000000,0.46263015,0.45094971,0.21151290,0.15812416
870.00000000,0.47435364,0.46301651,0.21151512,0.15846526
900.00000000,0.48491600,0.48237840,0.21375476,0.16502515
930.00000000,0.50977420,0.50947108,0.21754053,0.17104542
960.00000000,0.56226443,0.54276533,0.23037053,0.17741140
990.00000000,0.61713166,0.56894029,0.25071926,0.18575493
1020.00000000,0.67372228,0.59388678,0.26933557,0.19878277
1050.00000000,0.71669753,0.60902401,0.27487539,0.22108096
1080.00000000,0.73857719,0.62292482,0.28044676,0.23463119
