times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
2670.00000000,0.41687055,0.41685755,0.34196123,0.14492502
2700.00000000,0.41865376,0.41970620,0.34200808,0.14594363
2730.00000000,0.42020031,0.41980545,0.34431566,0.14680392
2760.00000000,0.42162899,0.42047358,0.34672031,0.14711176
2790.00000000,0.42204225,0.42102874,0.34858542,0.14911877
2820.00000000,0.42442265,0.42278625,0.35072523,0.15063569
2850.00000000,0.42443552,0.42425919,0.35175172,0.15312226
2880.00000000,0.42623284,0.42723723,0.35196308,0.15409163
2910.00000000,0.42787366,0.42949204,0.35341153,0.15615409
2940.00000000,0.43435845,0.43442063,0.35580851,0.15699485
2970.00000000,0.44144416,0.43833301,0.36072773,0.15874074
3000.00000000,0.44889343,0.44028395,0.36554131,0.15942548
3030.00000000,0.45497990,0.44197084,0.36912641,0.16023995
3060.00000000,0.45918595,0.44211318,0.37239404,0.16103603
3090.00000000,0.46430132,0.44284516,0.37608405,0.16319337
3120.00000000,0.46796548,0.44399370,0.37944166,0.16464848
3150.00000000,0.47099270,0.44480972,0.38107177,0.16522957
3180.00000000,0.47171564,0.44497283,0.38234737,0.16561912
3210.00000000,0.47409931,0.44548993,0.38290314,0.16692992
3240.00000000,0.47780616,0.44584143,0.38495747,0.16823094
3270.00000000,0.48155113,0.44780454,0.38600596,0.16896430
3300.00000000,0.48350032,0.44809336,0.38723643,0.16939420
3330.00000000,0.48476118,0.44875033,0.38917051,0.16941046
3360.00000000,0.48542287,0.45062643,0.39181323,0.16951538
3390.00000000,0.48767422,0.45275821,0.39624926,0.16956828
3420.00000000,0.48834401,0.45543468,0.39949521,0.17080755
3450.00000000,0.49121155,0.45712123,0.40309089,0.17176596
3480.00000000,0.49341240,0.45764826,0.40397093,0.17361378
3510.00000000,0.49486919,0.45815815,0.40416044,0.17576996
3540.00000000,0.49559006,0.46120940,0.40454480,0.17848470
3570.00000000,0.49919182,0.46446593,0.40619201,0.17978667
3600.00000000,0.50172165,0.46613330,0.40701973,0.17982141
