times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00394833,0.00474450,0.00068849,0.00010768
60.00000000,0.00817966,0.00977939,0.00131896,0.00028077
90.00000000,0.00876504,0.01411386,0.00522503,0.00043775
120.00000000,0.01306301,0.01528077,0.00812361,0.00067022
150.00000000,0.01670501,0.01611672,0.01087285,0.00072704
180.00000000,0.02555854,0.01971187,0.01683704,0.00143284
210.00000000,0.03470083,0.02039653,0.02697030,0.00310848
240.00000000,0.03724948,0.02060125,0.03244928,0.00624354
270.00000000,0.03767600,0.02301114,0.03498750,0.00679838
300.00000000,0.03977348,0.02642221,0.03677885,0.00727615
330.00000000,0.04136641,0.02794493,0.03887012,0.00929720
360.00000000,0.04505332,0.03293945,0.04044073,0.01217541
390.00000000,0.04822001,0.03689206,0.04164064,0.01416124
420.00000000,0.05694940,0.04785697,0.04227929,0.01575811
450.00000000,0.06653757,0.06004712,0.04263618,0.01800320
480.00000000,0.08733673,0.07808393,0.05081465,0.02341931
510.00000000,0.10865572,0.09490777,0.05709964,0.02520916
540.00000000,0.12393595,0.10403800,0.06571568,0.02767518
570.00000000,0.14601335,0.11974232,0.07091368,0.02885025
600.00000000,0.15516227,0.13269332,0.07105017,0.03251584
630.00000000,0.15875931,0.14016713,0.07259153,0.03485124
660.00000000,0.16129536,0.14822726,0.07770744,0.03525943
690.00000000,0.16149459,0.15575886,0.08513955,0.03535918
720.00000000,0.16620225,0.16156243,0.08766248,0.03678619
750.00000000,0.16872056,0.16595501,0.09311639,0.04036584
780.00000000,0.17799693,0.16925444,0.10338348,0.04267455
810.00000000,0.18531420,0.17457561,0.11571978,0.04297669
840.00000000,0.19037578,0.17467724,0.11913640,0.04472328
870.00000000,0.19395208,0.17478115,0.12173387,0.04559819
900.00000000,0.19649627,0.17794293,0.12495997,0.04807806
930.00000000,0.20426789,0.18433666,0.12749711,0.04923731
