times, G0G1_phase_absolute_error, S_phase_absolute_error, G2_phase_absolute_error, M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00998887,0.01094720,0.00085065,0.00010768
60.00000000,0.02227425,0.02230641,0.00121085,0.00139405
90.00000000,0.02617814,0.02592507,0.00200128,0.00189924
120.00000000,0.04013296,0.04165256,0.00378974,0.00191503
150.00000000,0.05203816,0.05934712,0.00753950,0.00395464
180.00000000,0.05913196,0.06791636,0.00845262,0.00451695
210.00000000,0.07000125,0.07514689,0.01099328,0.00561504
240.00000000,0.08363420,0.07948572,0.01865363,0.00724881
270.00000000,0.09461695,0.08581678,0.02025740,0.01029674
300.00000000,0.10262112,0.09213847,0.02347443,0.01519625
330.00000000,0.10553474,0.09311593,0.02391090,0.01669595
360.00000000,0.10805683,0.09908773,0.02555268,0.01850386
390.00000000,0.10921890,0.10468015,0.03043599,0.01895682
420.00000000,0.11044735,0.11353760,0.03673083,0.02029097
450.00000000,0.11252515,0.12414511,0.04408089,0.02147061
480.00000000,0.11331568,0.13578962,0.05749280,0.02244749
510.00000000,0.11396801,0.14146548,0.06438206,0.02300857
540.00000000,0.11459741,0.15342814,0.07501109,0.02371280
570.00000000,0.11786988,0.16350512,0.08738281,0.02469053
600.00000000,0.12349025,0.16747427,0.09613051,0.02553235
630.00000000,0.12777440,0.16983509,0.10467280,0.02742967
660.00000000,0.12953226,0.17768579,0.11660882,0.02975714
690.00000000,0.13909709,0.19514763,0.12708824,0.03233956
720.00000000,0.14609944,0.20812471,0.13570524,0.03498182
750.00000000,0.14863275,0.21864954,0.13930895,0.03936963
780.00000000,0.15490125,0.23037804,0.14147447,0.04266411
810.00000000,0.15732761,0.23491152,0.14336103,0.04665779
840.00000000,0.16657185,0.24169453,0.14640869,0.05216668
870.00000000,0.17630017,0.24416095,0.14827143,0.05756584
900.00000000,0.17759215,0.24757250,0.15223537,0.05941021
930.00000000,0.18581211,0.25304320,0.15261165,0.06253574
960.00000000,0.19627528,0.26507793,0.15749723,0.06584976
990.00000000,0.20584169,0.27739063,0.16325208,0.06885831
1020.00000000,0.21098897,0.28105415,0.16410119,0.06949296
1050.00000000,0.21634640,0.28415043,0.16631516,0.06954015
1080.00000000,0.22488566,0.28603803,0.16862403,0.07388293
1110.00000000,0.22812047,0.28895713,0.17000317,0.07557779
1140.00000000,0.22824262,0.29046315,0.17002962,0.07717951
1170.00000000,0.22952092,0.29419713,0.17121613,0.08337831
1200.00000000,0.23261224,0.30334638,0.17534218,0.08531018
1230.00000000,0.23712988,0.30928651,0.17640783,0.08779833
1260.00000000,0.24877487,0.31723268,0.18104485,0.08873652
1290.00000000,0.26678931,0.32567015,0.18836527,0.09099307
1320.00000000,0.27933966,0.33008037,0.19391127,0.09358721
1350.00000000,0.29098236,0.33570236,0.19860398,0.09491520
1380.00000000,0.31017550,0.34802679,0.20566258,0.09510506
1410.00000000,0.32641098,0.35601200,0.20828517,0.10073272
1440.00000000,0.33892268,0.36179083,0.20963851,0.10611227
1470.00000000,0.34452856,0.36466300,0.21082316,0.10766133
1500.00000000,0.34527158,0.36700091,0.21297952,0.10822281
1530.00000000,0.34958068,0.36939083,0.21709498,0.11041909
1560.00000000,0.35253873,0.37154216,0.22304761,0.11126235
1590.00000000,0.35586660,0.37739366,0.22722713,0.11291823
1620.00000000,0.36539742,0.38743780,0.23057330,0.11575109
1650.00000000,0.37159661,0.39712721,0.23600917,0.11769674
1680.00000000,0.37991804,0.40607985,0.24052887,0.12158523
1710.00000000,0.38431628,0.41447334,0.24533558,0.12239668
1740.00000000,0.38888109,0.41988757,0.24607377,0.12250791
1770.00000000,0.39512743,0.42162785,0.25139439,0.12332248
1800.00000000,0.39962799,0.42657729,0.25220555,0.12458252
1830.00000000,0.40579175,0.43349149,0.25344516,0.12507170
1860.00000000,0.41041395,0.43756899,0.25448524,0.12665647
1890.00000000,0.41907436,0.44155424,0.25502101,0.13079587
1920.00000000,0.42189613,0.44310659,0.25536705,0.13171925
1950.00000000,0.43295930,0.45214058,0.25558650,0.13352899
1980.00000000,0.44339624,0.45563813,0.26029242,0.13576245
2010.00000000,0.44934788,0.46037346,0.26136990,0.13805623
2040.00000000,0.45299842,0.46312504,0.26206975,0.13825533
2070.00000000,0.45625409,0.46513173,0.26413798,0.13907459
2100.00000000,0.45709462,0.46728069,0.26457790,0.14082294
2130.00000000,0.45955386,0.46981414,0.26891410,0.14147944
2160.00000000,0.46587906,0.47092991,0.27300115,0.14260182
2190.00000000,0.47059914,0.47371345,0.27850451,0.14460208
2220.00000000,0.47187539,0.47992609,0.28435490,0.14624059
2250.00000000,0.47236732,0.48465850,0.28494601,0.14988997
2280.00000000,0.47639261,0.48834928,0.29098069,0.15559013
2310.00000000,0.48417847,0.49290912,0.29693524,0.15831865
2340.00000000,0.49577402,0.49592367,0.30519773,0.15863716
2370.00000000,0.50464578,0.49733793,0.31421988,0.15990102
2400.00000000,0.50736541,0.50339402,0.31982400,0.16307262
2430.00000000,0.50908545,0.51012168,0.32120389,0.16670034
2460.00000000,0.51446483,0.51693642,0.32265712,0.16958894
2490.00000000,0.52017807,0.52119609,0.32416645,0.16964470
2520.00000000,0.52570057,0.52453745,0.32421331,0.17177899
2550.00000000,0.53064027,0.52746614,0.32568446,0.17231884
2580.00000000,0.53395494,0.52795229,0.32746187,0.17336996
2610.00000000,0.53561636,0.52845186,0.33084070,0.17791064
2640.00000000,0.53608387,0.52949506,0.33511237,0.18160664
2670.00000000,0.54004993,0.53218808,0.33553596,0.18245608
2700.00000000,0.54075868,0.53578285,0.34052389,0.18314048
2730.00000000,0.54212844,0.54029478,0.34714636,0.18388124
2760.00000000,0.54269514,0.54574769,0.35251769,0.18436637
2790.00000000,0.54490625,0.55374274,0.35933044,0.18539518
2820.00000000,0.54823257,0.55769577,0.36623670,0.18576827
2850.00000000,0.55128458,0.56040520,0.37012772,0.18763868
2880.00000000,0.55346993,0.56469036,0.37301035,0.19122656
2910.00000000,0.55631084,0.56737907,0.37522097,0.19454557
2940.00000000,0.56017462,0.56844923,0.37721919,0.19933741
2970.00000000,0.56225226,0.57053988,0.38000214,0.20213338
3000.00000000,0.56434878,0.57263659,0.38502511,0.20296311
3030.00000000,0.56929038,0.57417620,0.39143854,0.20303087
3060.00000000,0.57262445,0.57815206,0.39613605,0.20564332
3090.00000000,0.57450796,0.58640378,0.40103831,0.20710927
3120.00000000,0.57972992,0.59280642,0.40123287,0.20848450
3150.00000000,0.58836018,0.59995635,0.40225256,0.20894515
3180.00000000,0.59671014,0.60788830,0.40254073,0.20907501
3210.00000000,0.60106899,0.61317853,0.40297390,0.20957322
3240.00000000,0.60730043,0.61935439,0.40303695,0.20958067
3270.00000000,0.61339915,0.62411105,0.40312813,0.21101392
3300.00000000,0.61514600,0.62516156,0.40378512,0.21105327
3330.00000000,0.62125944,0.62802757,0.40553068,0.21255514
3360.00000000,0.62699569,0.63264964,0.40593068,0.21406934
3390.00000000,0.62980248,0.63756555,0.41127548,0.21730501
3420.00000000,0.63174807,0.64339709,0.41729725,0.21944082
3450.00000000,0.63245583,0.64976329,0.42197443,0.22042208
3480.00000000,0.63417680,0.65624065,0.42673829,0.22042955
3510.00000000,0.63466214,0.66242927,0.42962655,0.22324456
3540.00000000,0.63913664,0.67013061,0.43124835,0.22484961
3570.00000000,0.64211875,0.67638482,0.43252104,0.22684902
3600.00000000,0.64380192,0.67954370,0.43332717,0.22751859
