times, Ki67_negative_std, Ki67_positive_std, apoptotic_std, necrotic_std
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,1.74355958,1.85741756,0.00000000,0.00000000
60.00000000,2.08806130,1.97230829,0.00000000,0.00000000
90.00000000,2.76405499,2.60959767,0.00000000,0.00000000
120.00000000,2.60959767,2.24722051,0.00000000,0.00000000
150.00000000,2.90000000,2.79284801,0.00000000,0.00000000
180.00000000,4.17252921,3.77359245,0.00000000,0.00000000
210.00000000,4.14246304,3.44238290,0.00000000,0.00000000
240.00000000,3.02654919,2.40000000,0.00000000,0.00000000
270.00000000,2.58650343,2.00249844,0.00000000,0.00000000
300.00000000,3.26343377,2.37486842,0.00000000,0.00000000
330.00000000,2.77308492,1.95959179,0.00000000,0.00000000
360.00000000,3.62767143,2.57099203,0.00000000,0.00000000
390.00000000,1.55241747,1.66132477,0.00000000,0.00000000
420.00000000,3.19374388,2.48193473,0.00000000,0.00000000
450.00000000,4.10000000,2.83725219,0.00000000,0.00000000
480.00000000,3.38230691,2.52190404,0.00000000,0.00000000
510.00000000,1.13578167,1.28062485,0.00000000,0.00000000
540.00000000,2.57681975,1.73493516,0.00000000,0.00000000
570.00000000,2.67581763,2.02237484,0.00000000,0.00000000
600.00000000,3.85227206,2.54754784,0.00000000,0.00000000
630.00000000,3.32415403,2.66270539,0.00000000,0.00000000
660.00000000,5.95063022,3.96106046,0.00000000,0.00000000
690.00000000,4.90407993,3.61247837,0.00000000,0.00000000
720.00000000,5.01597448,3.17647603,0.00000000,0.00000000
750.00000000,5.44426304,3.73630834,0.00000000,0.00000000
780.00000000,6.57343137,3.82230297,0.00000000,0.00000000
810.00000000,6.21610811,3.35261092,0.00000000,0.00000000
840.00000000,6.73795221,2.64764046,0.00000000,0.00000000
870.00000000,6.00083328,3.11287648,0.00000000,0.00000000
900.00000000,4.94064773,3.82622529,0.00000000,0.00000000
930.00000000,4.36004587,4.01123422,0.00000000,0.00000000
960.00000000,4.10974452,3.91024296,0.00000000,0.00000000
990.00000000,4.32319326,5.05568986,0.00000000,0.00000000
1020.00000000,4.10365691,5.92958683,0.00000000,0.00000000
1050.00000000,4.80520551,5.75847202,0.00000000,0.00000000
1080.00000000,5.53534100,5.78013841,0.00000000,0.00000000
1110.00000000,6.18142378,5.78013841,0.00000000,0.00000000
1140.00000000,7.36545993,6.82348884,0.00000000,0.00000000
1170.00000000,6.24819974,6.08276253,0.00000000,0.00000000
1200.00000000,7.25603197,6.60605783,0.00000000,0.00000000
1230.00000000,6.23618473,7.24499827,0.00000000,0.00000000
1260.00000000,5.64712316,7.68374908,0.00000000,0.00000000
1290.00000000,6.74981481,8.55336191,0.00000000,0.00000000
1320.00000000,5.30000000,8.07217443,0.00000000,0.00000000
1350.00000000,4.52106182,7.64198927,0.00000000,0.00000000
1380.00000000,2.44948974,7.20069441,0.00000000,0.00000000
1410.00000000,5.39351462,5.67538545,0.00000000,0.00000000
1440.00000000,6.80881781,6.04648658,0.00000000,0.00000000
1470.00000000,7.45721128,5.94978991,0.00000000,0.00000000
1500.00000000,6.11964051,6.28967408,0.00000000,0.00000000
1530.00000000,5.18073354,6.67907179,0.00000000,0.00000000
1560.00000000,7.82304289,8.76356092,0.00000000,0.00000000
1590.00000000,8.00249961,7.68700202,0.00000000,0.00000000
1620.00000000,7.56901579,7.65245059,0.00000000,0.00000000
1650.00000000,9.83920729,7.47060908,0.00000000,0.00000000
1680.00000000,10.28639879,6.44980620,0.00000000,0.00000000
1710.00000000,9.71853898,6.28410694,0.00000000,0.00000000
1740.00000000,10.46947945,7.35934780,0.00000000,0.00000000
1770.00000000,8.94650770,8.95600357,0.00000000,0.00000000
1800.00000000,8.47584804,8.35763124,0.00000000,0.00000000
1830.00000000,8.69712596,8.02246845,0.00000000,0.00000000
1860.00000000,8.76869432,8.77553417,0.00000000,0.00000000
1890.00000000,8.50940656,10.94577544,0.00000000,0.00000000
1920.00000000,8.43860178,11.21650569,0.00000000,0.00000000
1950.00000000,8.52584307,12.07518116,0.00000000,0.00000000
1980.00000000,8.67179336,11.97539143,0.00000000,0.00000000
2010.00000000,9.69535971,12.72949331,0.00000000,0.00000000
2040.00000000,6.91375441,13.33266665,0.00000000,0.00000000
2070.00000000,6.43739078,14.14248917,0.00000000,0.00000000
2100.00000000,7.67398202,14.32794472,0.00000000,0.00000000
2130.00000000,7.65832880,15.98249042,0.00000000,0.00000000
2160.00000000,7.83836718,16.44658019,0.00000000,0.00000000
2190.00000000,7.72075126,16.47543626,0.00000000,0.00000000
2220.00000000,5.81807528,17.49885711,0.00000000,0.00000000
2250.00000000,6.72011905,16.48757108,0.00000000,0.00000000
2280.00000000,5.26212885,16.41828249,0.00000000,0.00000000
2310.00000000,7.52396172,18.70320828,0.00000000,0.00000000
2340.00000000,6.49923072,17.50542773,0.00000000,0.00000000
2370.00000000,7.69675256,16.75828153,0.00000000,0.00000000
2400.00000000,8.91347295,14.60445138,0.00000000,0.00000000
2430.00000000,8.41189634,16.16168308,0.00000000,0.00000000
2460.00000000,9.17605580,17.15109326,0.00000000,0.00000000
2490.00000000,8.84816365,16.73947430,0.00000000,0.00000000
2520.00000000,7.44580419,16.95405556,0.00000000,0.00000000
2550.00000000,8.49764673,16.48757108,0.00000000,0.00000000
2580.00000000,10.19607768,15.96370884,0.00000000,0.00000000
2610.00000000,12.20000000,17.23368794,0.00000000,0.00000000
2640.00000000,13.38245120,17.48742405,0.00000000,0.00000000
2670.00000000,11.19330157,19.46817916,0.00000000,0.00000000
2700.00000000,10.05186550,20.31772625,0.00000000,0.00000000
2730.00000000,10.63014581,19.72333643,0.00000000,0.00000000
