Modelo 	 SSE 	 AIC 	 AICc 	 Delta_AIC 	 Delta_AICc 	 Likelihood 	 Likelihood_c 	 AIC_weights 	 AICc_weights 	 AIC_evid_ratio 	 AICc_evid_ratio 	 BIC 	 Delta_BIC 	 BIC_prob
1	1653.2713862445094	324.38120672734374	324.72603431355066	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	335.5643689097307	0.0	1.0
2	103174.95585618755	832.5552966215921	833.8410109073064	508.17408989424837	509.1149765937558	4.481242605267351e-111	2.7995453401015578e-111	4.481242605267351e-111	2.7995453401015578e-111	2.23152390550018e+110	3.572008588950817e+110	854.9216209863661	519.3572520766354	1.6711123290574154e-113
3	83999.0607539798	811.6752124305807	813.6752124305807	487.29400570323696	488.94917811703004	1.5326787258541942e-106	6.699386076650061e-107	1.5326787258541942e-106	6.699386076650061e-107	6.524524566899556e+105	1.4926740876830265e+106	839.6331178865481	504.0687489768174	3.490293188794187e-110
