times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
3330.00000000,0.62974521,0.64957872,0.45335023
3360.00000000,0.63808203,0.65315033,0.45811544
3390.00000000,0.64623088,0.65688677,0.46252784
3420.00000000,0.65049831,0.65713898,0.46704748
3450.00000000,0.65502716,0.65847693,0.47291429
3480.00000000,0.65884863,0.66046931,0.47872814
3510.00000000,0.66116508,0.66411576,0.48469105
3540.00000000,0.66146740,0.66787544,0.48875305
3570.00000000,0.66397407,0.67176466,0.49013561
3600.00000000,0.66691326,0.67505949,0.49049125
