times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
3330.00000000,1.22160845,1.29564459,0.92388044
3360.00000000,1.22668529,1.29831888,0.93163156
3390.00000000,1.22971897,1.30348247,0.93982883
3420.00000000,1.23383725,1.30756285,0.94802748
3450.00000000,1.23543062,1.31742631,0.95629757
3480.00000000,1.23884268,1.33043374,0.96589294
3510.00000000,1.24709876,1.34633922,0.97354234
3540.00000000,1.26085063,1.36233873,0.97578999
3570.00000000,1.26884133,1.37158067,0.97704121
3600.00000000,1.27593586,1.38228674,0.98065275
