times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00020546,0.00337101,0.00357648
60.00000000,0.01503079,0.00599228,0.01578054
90.00000000,0.01940034,0.01163497,0.02579279
120.00000000,0.01943418,0.01388679,0.02807844
150.00000000,0.02299453,0.01423317,0.03129241
180.00000000,0.02753841,0.02142816,0.03394353
210.00000000,0.03058124,0.02366168,0.03921989
240.00000000,0.03925199,0.02545028,0.04610205
270.00000000,0.03965829,0.02646138,0.04751946
300.00000000,0.04123657,0.03116538,0.05064518
330.00000000,0.05028523,0.04651358,0.05694472
360.00000000,0.05158765,0.05856582,0.07029937
390.00000000,0.05688238,0.06858359,0.07502241
420.00000000,0.06290683,0.07958212,0.07999649
450.00000000,0.08042820,0.09858943,0.08148242
480.00000000,0.08672685,0.10350740,0.08286311
510.00000000,0.09905891,0.10516787,0.09353468
540.00000000,0.10016742,0.10678480,0.09626012
570.00000000,0.10239215,0.10880219,0.09646746
600.00000000,0.10633496,0.11768628,0.10140875
630.00000000,0.10775312,0.11772746,0.10286809
660.00000000,0.11493390,0.11785934,0.11018075
690.00000000,0.12373326,0.12170298,0.11513646
720.00000000,0.13097737,0.12694511,0.11713844
750.00000000,0.13569631,0.12768010,0.12259237
780.00000000,0.13743246,0.12988025,0.12305636
810.00000000,0.13835136,0.13695310,0.13104812
840.00000000,0.14562198,0.14703073,0.13385513
870.00000000,0.15549007,0.15699515,0.13395146
900.00000000,0.15927560,0.17152503,0.14469582
930.00000000,0.16168956,0.18125263,0.15683738
960.00000000,0.16268944,0.18672407,0.16330870
990.00000000,0.16358612,0.19352485,0.16921280
1020.00000000,0.17201496,0.19828860,0.17287790
1050.00000000,0.17865509,0.20417622,0.17363041
1080.00000000,0.18482894,0.20597241,0.17800807
1110.00000000,0.18538460,0.20879696,0.18138830
1140.00000000,0.18731940,0.21124962,0.18190616
1170.00000000,0.19163019,0.21292800,0.18453858
1200.00000000,0.19319130,0.21535907,0.18853077
1230.00000000,0.20467542,0.21741066,0.19796330
1260.00000000,0.21006867,0.22271815,0.20866404
1290.00000000,0.21579845,0.22671714,0.21839281
1320.00000000,0.22078415,0.23426997,0.23093134
1350.00000000,0.22311479,0.24096964,0.23996166
1380.00000000,0.22852938,0.24573612,0.25014273
1410.00000000,0.23479596,0.25006324,0.26073643
1440.00000000,0.24163863,0.25513874,0.27265459
1470.00000000,0.24315410,0.26345565,0.28248697
1500.00000000,0.24431652,0.27179741,0.28966630
1530.00000000,0.25041270,0.28509398,0.29686669
1560.00000000,0.25989974,0.29511871,0.29740437
1590.00000000,0.26296481,0.29822055,0.29744114
1620.00000000,0.26378776,0.30054182,0.29893945
1650.00000000,0.26462371,0.31320510,0.31076679
1680.00000000,0.26547171,0.32557414,0.32228784
1710.00000000,0.27291949,0.34089217,0.33015808
1740.00000000,0.28396969,0.35568794,0.33390365
1770.00000000,0.29049729,0.36622368,0.33791179
1800.00000000,0.29867891,0.38255855,0.34606505
1830.00000000,0.31571452,0.40341424,0.34988512
1860.00000000,0.33223153,0.42512943,0.35508330
1890.00000000,0.34150956,0.44490205,0.36557790
1920.00000000,0.35095475,0.46424775,0.37547841
