times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00293042,0.00070676,0.00363717
60.00000000,0.01484756,0.01372204,0.00473531
90.00000000,0.02168017,0.02868058,0.01286125
120.00000000,0.03239021,0.04842886,0.02189949
150.00000000,0.04400331,0.05922902,0.02271243
180.00000000,0.06586509,0.07249671,0.03130652
210.00000000,0.08331700,0.08285977,0.03839536
240.00000000,0.10751773,0.09166109,0.05379478
270.00000000,0.12528271,0.10326051,0.05996034
300.00000000,0.13609362,0.11250478,0.06152698
330.00000000,0.15973672,0.12636556,0.07130930
360.00000000,0.16568950,0.12925538,0.08015190
390.00000000,0.17256325,0.13353396,0.09130423
420.00000000,0.17462741,0.13392883,0.09297352
450.00000000,0.18301863,0.13456658,0.10072698
480.00000000,0.18515352,0.13623047,0.10452575
510.00000000,0.18567187,0.13872327,0.10650021
540.00000000,0.19017223,0.14114022,0.11341754
570.00000000,0.19688717,0.14130594,0.11996676
600.00000000,0.21932769,0.14495491,0.13875829
630.00000000,0.23185434,0.15329340,0.15962343
660.00000000,0.23798063,0.16113961,0.17359592
690.00000000,0.24301588,0.16925350,0.18674507
720.00000000,0.24699289,0.16965713,0.19031844
750.00000000,0.24881056,0.17722628,0.19970526
780.00000000,0.25352493,0.17999249,0.20718584
810.00000000,0.26096139,0.18080395,0.21381087
840.00000000,0.27227514,0.18176722,0.22416134
870.00000000,0.28423648,0.18352400,0.23787945
900.00000000,0.28532750,0.19322193,0.24866840
930.00000000,0.29263681,0.20687331,0.25501047
960.00000000,0.29913451,0.21745633,0.25909578
990.00000000,0.30304558,0.22253996,0.26026834
1020.00000000,0.30661287,0.22520395,0.26117164
1050.00000000,0.30785779,0.22710026,0.26431286
1080.00000000,0.31287122,0.22854199,0.27076803
1110.00000000,0.31322951,0.23068394,0.27326827
1140.00000000,0.31572128,0.23456959,0.27466216
1170.00000000,0.32010000,0.23747250,0.27613798
1200.00000000,0.32241688,0.23926858,0.28025093
1230.00000000,0.32300083,0.23971270,0.28127901
1260.00000000,0.32797542,0.24245916,0.28900005
1290.00000000,0.32950635,0.25161648,0.29662643
1320.00000000,0.33234352,0.26381539,0.30598818
1350.00000000,0.34355661,0.27814099,0.30910069
1380.00000000,0.35377589,0.29036836,0.31110878
1410.00000000,0.36016522,0.30107563,0.31542672
1440.00000000,0.36638675,0.31252624,0.32065581
1470.00000000,0.37557795,0.32436029,0.32329864
1500.00000000,0.38240463,0.33110152,0.32338408
1530.00000000,0.38479069,0.34039012,0.33028662
1560.00000000,0.38732992,0.34545828,0.33789401
1590.00000000,0.39406176,0.34896637,0.34111775
1620.00000000,0.40468481,0.35522928,0.34547789
1650.00000000,0.41613814,0.36246458,0.34969591
1680.00000000,0.42892434,0.37349753,0.35144916
1710.00000000,0.44296359,0.38463428,0.35435166
1740.00000000,0.46008095,0.39695384,0.35914946
1770.00000000,0.47925072,0.41069931,0.36457376
1800.00000000,0.49578659,0.42133781,0.37047113
1830.00000000,0.50385023,0.42893586,0.37093671
1860.00000000,0.51114938,0.43207297,0.37509874
1890.00000000,0.51509051,0.43469078,0.37642206
1920.00000000,0.52040875,0.43930474,0.37712635
1950.00000000,0.52557820,0.44521423,0.37786639
