times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00711762,0.00358401,0.00353360
60.00000000,0.01722903,0.00498451,0.01224452
90.00000000,0.02717113,0.00871531,0.01845581
120.00000000,0.03808510,0.00995471,0.02813039
150.00000000,0.04128880,0.01674085,0.03171282
180.00000000,0.04380867,0.02415931,0.03661142
210.00000000,0.05117846,0.02692933,0.04675122
240.00000000,0.06224224,0.03138752,0.06227319
270.00000000,0.06381579,0.04149196,0.07080409
300.00000000,0.06546717,0.04686905,0.07452980
330.00000000,0.06888480,0.05401496,0.07825808
360.00000000,0.06990877,0.05570162,0.07892076
390.00000000,0.08176088,0.06420078,0.08227369
420.00000000,0.08494900,0.06793202,0.08919306
450.00000000,0.08656228,0.07594636,0.09559413
480.00000000,0.09165330,0.08533071,0.09988746
510.00000000,0.09970931,0.09425226,0.10075301
540.00000000,0.11301011,0.09555469,0.11275138
570.00000000,0.12595681,0.09590048,0.12535228
600.00000000,0.13436164,0.09897593,0.13068166
630.00000000,0.13709360,0.10868509,0.13765886
660.00000000,0.14001724,0.11521708,0.14711449
690.00000000,0.14626147,0.12382035,0.14947353
720.00000000,0.15480181,0.13218169,0.14965251
750.00000000,0.16770533,0.14011878,0.15461896
780.00000000,0.18041063,0.14937211,0.15807093
810.00000000,0.19609695,0.16149607,0.16163328
840.00000000,0.20934252,0.17147812,0.16489681
870.00000000,0.21431969,0.17226783,0.17066369
900.00000000,0.22303726,0.17621993,0.17542915
930.00000000,0.22759968,0.18022238,0.17598913
960.00000000,0.22867361,0.18143413,0.17612696
990.00000000,0.23115665,0.18379118,0.17625294
1020.00000000,0.23938828,0.19205014,0.17628027
1050.00000000,0.24899373,0.20307797,0.17770263
1080.00000000,0.25225928,0.20522833,0.17881782
1110.00000000,0.26260618,0.21084821,0.18354485
1140.00000000,0.26575326,0.21469876,0.18424832
1170.00000000,0.26962432,0.21917328,0.18485179
1200.00000000,0.27779161,0.23149961,0.18901083
1230.00000000,0.28694155,0.24313756,0.19149884
1260.00000000,0.29801646,0.25684586,0.19413222
1290.00000000,0.30207690,0.26423551,0.19746144
1320.00000000,0.31381907,0.27315613,0.20028299
1350.00000000,0.32291793,0.28288192,0.20090991
1380.00000000,0.33025960,0.28801893,0.20311456
1410.00000000,0.33802868,0.29317892,0.20572364
1440.00000000,0.34273050,0.29452184,0.20908254
1470.00000000,0.34438850,0.29574875,0.21196744
1500.00000000,0.34548711,0.29668650,0.21212829
1530.00000000,0.34664996,0.29869872,0.21297767
1560.00000000,0.34786373,0.29885660,0.21403356
1590.00000000,0.35399724,0.30331824,0.21570542
1620.00000000,0.36313079,0.30727904,0.22087817
1650.00000000,0.37093648,0.30764837,0.22831453
1680.00000000,0.37894779,0.30879360,0.23518061
1710.00000000,0.38355885,0.30965447,0.24065255
1740.00000000,0.38775786,0.31223292,0.24743001
1770.00000000,0.38789755,0.31855033,0.25360771
1800.00000000,0.38891766,0.32709584,0.26113311
1830.00000000,0.39665242,0.33766243,0.26396494
1860.00000000,0.40015949,0.34554274,0.26833818
1890.00000000,0.40135948,0.34876184,0.27035729
1920.00000000,0.40450352,0.35377758,0.27222898
1950.00000000,0.40509750,0.35660728,0.27446471
1980.00000000,0.40753895,0.36054657,0.27596254
2010.00000000,0.40944437,0.36416355,0.27767410
2040.00000000,0.41343228,0.36847817,0.27800081
2070.00000000,0.41815800,0.37454232,0.27933926
2100.00000000,0.42069254,0.37964241,0.28190480
2130.00000000,0.42758679,0.38289917,0.28554228
2160.00000000,0.43503742,0.38748538,0.28840669
2190.00000000,0.43659906,0.38807999,0.28937372
2220.00000000,0.44004818,0.39066382,0.29023901
2250.00000000,0.44112467,0.39212365,0.29277531
2280.00000000,0.44293487,0.39466110,0.29350256
2310.00000000,0.44843066,0.40013510,0.29352435
2340.00000000,0.45400340,0.40257325,0.29665894
2370.00000000,0.45599432,0.40555917,0.30163578
2400.00000000,0.45962130,0.40890285,0.30191909
2430.00000000,0.46226325,0.40904731,0.30441658
2460.00000000,0.46503219,0.40942587,0.30756408
2490.00000000,0.46658136,0.41084337,0.30769575
2520.00000000,0.46660254,0.41521181,0.31208538
2550.00000000,0.47025840,0.42032501,0.31354271
2580.00000000,0.47744353,0.42883722,0.31486979
2610.00000000,0.48466123,0.43592794,0.31499676
2640.00000000,0.49099341,0.44037256,0.31688432
2670.00000000,0.49736619,0.44448949,0.31914019
2700.00000000,0.50281713,0.44566653,0.32341408
2730.00000000,0.50743143,0.44680695,0.32916881
2760.00000000,0.51003636,0.45121099,0.33617779
2790.00000000,0.51071474,0.45931277,0.34360119
2820.00000000,0.51079255,0.46693823,0.35130444
2850.00000000,0.51415235,0.47979707,0.36080348
2880.00000000,0.51416408,0.49000995,0.37100463
2910.00000000,0.51568854,0.49711291,0.37658313
2940.00000000,0.51771891,0.50249505,0.37993491
2970.00000000,0.52188530,0.50813571,0.38140916
3000.00000000,0.52595812,0.51290578,0.38210642
3030.00000000,0.52655271,0.51472051,0.38332656
3060.00000000,0.52926945,0.51753418,0.38342350
3090.00000000,0.53222719,0.51858353,0.38533189
3120.00000000,0.53453262,0.51878886,0.38784266
3150.00000000,0.53582769,0.52049854,0.38825728
3180.00000000,0.53888464,0.52282576,0.38898701
3210.00000000,0.54002020,0.52821108,0.39323677
3240.00000000,0.54138492,0.53034966,0.39401062
3270.00000000,0.54428548,0.53217671,0.39508412
3300.00000000,0.54591940,0.53304999,0.39759132
3330.00000000,0.54652501,0.53578132,0.39971705
3360.00000000,0.54667680,0.53794037,0.40202789
3390.00000000,0.54763443,0.54238611,0.40551600
3420.00000000,0.54847772,0.54577672,0.40806332
3450.00000000,0.55038654,0.54942032,0.40979810
3480.00000000,0.55057631,0.55042041,0.41098796
3510.00000000,0.55196176,0.55239656,0.41157866
3540.00000000,0.55246144,0.55292344,0.41160587
3570.00000000,0.55320244,0.55339441,0.41187590
3600.00000000,0.55323366,0.55381139,0.41226167
