times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
3330.00000000,0.76170977,0.66746808,0.41046403
3360.00000000,0.76383156,0.67107873,0.41195289
3390.00000000,0.76793115,0.67589071,0.41266528
3420.00000000,0.77370566,0.68175539,0.41275544
3450.00000000,0.77644472,0.68586063,0.41412163
3480.00000000,0.78180703,0.68878566,0.41655891
3510.00000000,0.78345740,0.69025200,0.41674294
3540.00000000,0.78655969,0.69279687,0.41730037
3570.00000000,0.78782198,0.69391137,0.41744816
3600.00000000,0.78798146,0.69640930,0.42010556
