times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00042431,0.00064193,0.00021762
60.00000000,0.00219466,0.00145652,0.00117337
90.00000000,0.00304194,0.00386632,0.00273589
120.00000000,0.00662014,0.00532782,0.00485260
150.00000000,0.01013034,0.00667456,0.00970954
180.00000000,0.01068562,0.00990225,0.01238195
210.00000000,0.02013161,0.01848754,0.01324265
240.00000000,0.02788957,0.02424341,0.01524474
270.00000000,0.03449538,0.02793745,0.01815651
300.00000000,0.04179337,0.02903884,0.02435311
330.00000000,0.05079034,0.03316741,0.02922150
360.00000000,0.06691911,0.03849831,0.04001938
390.00000000,0.08762679,0.04942586,0.04979949
420.00000000,0.10211260,0.05344658,0.06026460
450.00000000,0.11347764,0.06023225,0.06484397
480.00000000,0.12974664,0.06848317,0.07286204
510.00000000,0.14392650,0.07482917,0.08069591
540.00000000,0.15699754,0.08034773,0.08824839
570.00000000,0.16148792,0.08192142,0.09116508
600.00000000,0.16326304,0.08351280,0.09134881
630.00000000,0.17123222,0.08827407,0.09455674
660.00000000,0.17612876,0.09016336,0.09756398
690.00000000,0.18001996,0.09390098,0.09771756
720.00000000,0.18414981,0.09428747,0.10223389
750.00000000,0.18531556,0.09798781,0.10476848
780.00000000,0.18689730,0.10064092,0.10583985
810.00000000,0.18924335,0.10096778,0.10785904
840.00000000,0.19237172,0.10285766,0.10909753
870.00000000,0.19288631,0.10536966,0.11109493
900.00000000,0.19609642,0.10738245,0.11229225
930.00000000,0.20565883,0.11201512,0.11722200
960.00000000,0.21111217,0.11208785,0.12260260
990.00000000,0.21427005,0.11348648,0.12715911
1020.00000000,0.22137949,0.11446468,0.13329035
1050.00000000,0.22221215,0.11708948,0.13674782
1080.00000000,0.22462620,0.12195147,0.13919577
1110.00000000,0.22915918,0.12808960,0.14080092
1140.00000000,0.23347845,0.13434195,0.14273400
1170.00000000,0.23623169,0.13815167,0.14379048
1200.00000000,0.23948778,0.14506118,0.14744389
1230.00000000,0.24485207,0.15243384,0.14945226
1260.00000000,0.24601009,0.15746312,0.15332353
1290.00000000,0.24639267,0.16547253,0.16095035
1320.00000000,0.24840103,0.17294501,0.16641448
1350.00000000,0.24884309,0.17960880,0.17263621
1380.00000000,0.24897697,0.18531282,0.17820635
1410.00000000,0.24977820,0.18976226,0.18345702
1440.00000000,0.25337693,0.19325194,0.19054543
1470.00000000,0.25411029,0.19661563,0.19317576
1500.00000000,0.25451661,0.19914068,0.19529449
1530.00000000,0.25646214,0.20216981,0.19637807
1560.00000000,0.26526424,0.20730596,0.20004402
1590.00000000,0.27662777,0.21660618,0.20210731
1620.00000000,0.28532435,0.22778006,0.20458461
1650.00000000,0.28911780,0.23767907,0.21069018
1680.00000000,0.29382639,0.24853731,0.21683983
1710.00000000,0.29994202,0.25967217,0.22185905
1740.00000000,0.30457209,0.27048496,0.22804177
1770.00000000,0.31026738,0.28007182,0.23193336
1800.00000000,0.31911532,0.28830057,0.23255255
1830.00000000,0.33004070,0.29484291,0.23693559
1860.00000000,0.33867549,0.29774151,0.24267177
1890.00000000,0.34765448,0.30052980,0.24886248
1920.00000000,0.35301040,0.30292473,0.25661333
1950.00000000,0.35673294,0.30473652,0.26214767
1980.00000000,0.36030965,0.30768425,0.26867210
2010.00000000,0.36064204,0.30956229,0.27021776
2040.00000000,0.36527696,0.31013520,0.27427976
2070.00000000,0.36984228,0.31024786,0.27873243
2100.00000000,0.37342696,0.31267710,0.28474635
2130.00000000,0.37456174,0.31339138,0.28659541
2160.00000000,0.37504854,0.31517143,0.28886226
2190.00000000,0.37630880,0.31662955,0.28906012
2220.00000000,0.37731316,0.31692173,0.28977229
2250.00000000,0.37784562,0.31726093,0.29064395
2280.00000000,0.37964681,0.31761366,0.29279787
2310.00000000,0.38201647,0.31951191,0.29326929
2340.00000000,0.38281312,0.32066462,0.29521866
2370.00000000,0.38380623,0.32168355,0.29524449
2400.00000000,0.38703146,0.32301588,0.29713739
2430.00000000,0.39166108,0.32645137,0.29833151
2460.00000000,0.39494484,0.32670180,0.30136485
2490.00000000,0.39682605,0.32701266,0.30355691
2520.00000000,0.40201419,0.32834205,0.30741566
2550.00000000,0.40648914,0.33128244,0.30895023
2580.00000000,0.41136051,0.33287173,0.31223230
2610.00000000,0.41362377,0.33443126,0.31605509
2640.00000000,0.41537881,0.33704202,0.31691080
2670.00000000,0.41843303,0.34034160,0.31715617
2700.00000000,0.41969063,0.34055539,0.31862757
2730.00000000,0.42010316,0.34310352,0.32076317
2760.00000000,0.42260143,0.34985943,0.32502081
2790.00000000,0.42723707,0.35831364,0.32883938
2820.00000000,0.43282634,0.36569116,0.33062763
2850.00000000,0.43859523,0.37336892,0.33253651
2880.00000000,0.44255475,0.37821230,0.33342037
2910.00000000,0.44610758,0.38330470,0.33495994
2940.00000000,0.45321483,0.38838669,0.33698521
2970.00000000,0.45864381,0.39316821,0.33763266
3000.00000000,0.46168486,0.39617697,0.33766495
3030.00000000,0.46257936,0.39695159,0.33778483
3060.00000000,0.46293693,0.39857421,0.33904989
3090.00000000,0.46307302,0.39994178,0.34028134
3120.00000000,0.46311530,0.40107913,0.34137641
3150.00000000,0.46419036,0.40162606,0.34190454
3180.00000000,0.46588312,0.40210609,0.34311727
3210.00000000,0.46964544,0.40259951,0.34638617
3240.00000000,0.47122569,0.40264109,0.34792484
3270.00000000,0.47229939,0.40361235,0.34802728
3300.00000000,0.47295865,0.40407662,0.34822227
3330.00000000,0.47700736,0.40593482,0.35041278
3360.00000000,0.47941659,0.40786881,0.35088802
3390.00000000,0.48325192,0.41085538,0.35173678
3420.00000000,0.48742247,0.41478442,0.35197829
3450.00000000,0.49168960,0.41781342,0.35321641
3480.00000000,0.49523122,0.42018287,0.35438859
3510.00000000,0.49985448,0.42355619,0.35563853
3540.00000000,0.50309148,0.42435215,0.35807957
3570.00000000,0.50627022,0.42558142,0.36002904
3600.00000000,0.50855264,0.42590343,0.36198946
