times, G0G1_phase_absolute_error, S_phase_absolute_error, G2M_phase_absolute_error
0.00000000,0.00000000,0.00000000,0.00000000
30.00000000,0.00217028,0.00224996,0.00007968
60.00000000,0.02104676,0.02862701,0.00758025
90.00000000,0.03572462,0.04812260,0.01239797
120.00000000,0.04927526,0.06077242,0.01329879
150.00000000,0.06350761,0.07528654,0.01358055
180.00000000,0.06688310,0.07749839,0.01916789
210.00000000,0.08346076,0.07788174,0.03612891
240.00000000,0.08878262,0.08118545,0.04475447
270.00000000,0.10828111,0.08352902,0.06190940
300.00000000,0.12466124,0.08669278,0.07512577
330.00000000,0.14793160,0.08967582,0.10137918
360.00000000,0.17273337,0.09434129,0.12151548
390.00000000,0.18992179,0.10507017,0.14943277
420.00000000,0.21165933,0.10876449,0.16747598
450.00000000,0.22406789,0.11931746,0.19043750
480.00000000,0.23730717,0.14439228,0.20227304
510.00000000,0.24907815,0.16573299,0.21184276
540.00000000,0.26088357,0.17341130,0.21596987
570.00000000,0.26973569,0.17981594,0.23122664
600.00000000,0.28170034,0.18126573,0.24174150
630.00000000,0.30016577,0.18562935,0.25584331
660.00000000,0.32568145,0.18665894,0.28032940
690.00000000,0.34110025,0.19733244,0.30642169
720.00000000,0.34977040,0.20227747,0.32003686
750.00000000,0.35220535,0.22497602,0.34517038
780.00000000,0.37286935,0.26527938,0.36480974
810.00000000,0.40011900,0.30926774,0.38154845
840.00000000,0.42463438,0.35353735,0.40130268
870.00000000,0.44178346,0.39886571,0.42948195
900.00000000,0.47404999,0.43824384,0.43659355
930.00000000,0.49357206,0.46566688,0.44449453
960.00000000,0.49913033,0.48409509,0.45736446
990.00000000,0.51677082,0.50511873,0.46074761
1020.00000000,0.54037608,0.52735939,0.46211221
1050.00000000,0.54766363,0.55212310,0.47958837
1080.00000000,0.55505705,0.56852293,0.48859478
1110.00000000,0.56597762,0.60292960,0.51208088
1140.00000000,0.58512617,0.64353679,0.53353951
1170.00000000,0.62367683,0.68404121,0.53549327
1200.00000000,0.64702882,0.71527935,0.54337942
1230.00000000,0.67900475,0.74094631,0.54968839
1260.00000000,0.70223094,0.75836382,0.55549707
1290.00000000,0.72247353,0.77658063,0.55752284
1320.00000000,0.74840297,0.79465628,0.56537663
1350.00000000,0.76226964,0.81010775,0.56696142
1380.00000000,0.77390263,0.82186021,0.56708089
1410.00000000,0.79409239,0.84306953,0.56810045
1440.00000000,0.80582093,0.85947057,0.57277296
1470.00000000,0.82585754,0.89681881,0.59008459
1500.00000000,0.84354066,0.92816322,0.60374589
1530.00000000,0.84793922,0.94847772,0.61966183
1560.00000000,0.84906483,0.96443767,0.63449617
1590.00000000,0.85054342,0.97802912,0.64660903
1620.00000000,0.86432755,0.98053894,0.65788335
1650.00000000,0.87419348,0.98300771,0.67021806
1680.00000000,0.87869418,0.98837607,0.68008712
1710.00000000,0.89698780,0.99741097,0.68934583
1740.00000000,0.91639655,1.00154833,0.70461722
1770.00000000,0.92454936,1.00234507,0.71356676
1800.00000000,0.92924546,1.00972071,0.71624629
1830.00000000,0.93682156,1.02014610,0.71909559
1860.00000000,0.95200747,1.04013559,0.72389917
1890.00000000,0.95789221,1.05200682,0.72988566
1920.00000000,0.95913988,1.05340856,0.73253506
1950.00000000,0.96163259,1.06236012,0.73899392
1980.00000000,0.97117061,1.06966350,0.74122856
2010.00000000,0.98991757,1.09189180,0.74470991
2040.00000000,0.99477992,1.10659874,0.75455449
2070.00000000,0.99981870,1.11351280,0.75642978
2100.00000000,1.00146698,1.11510808,0.75648279
2130.00000000,1.00491532,1.11688814,0.76171119
2160.00000000,1.01138581,1.11807578,0.76699404
2190.00000000,1.01438867,1.12152948,0.76744489
2220.00000000,1.01717680,1.12680557,0.77550910
2250.00000000,1.02776022,1.12712344,0.78577467
2280.00000000,1.03207551,1.13858354,0.80155008
2310.00000000,1.03365604,1.14941809,0.81080410
2340.00000000,1.03800260,1.16085725,0.81789669
2370.00000000,1.03907967,1.16470587,0.82282237
2400.00000000,1.04363549,1.17241568,0.82597637
2430.00000000,1.04725932,1.17438330,0.82763258
2460.00000000,1.05137718,1.17775245,0.83511959
2490.00000000,1.05185267,1.18146979,0.83836144
2520.00000000,1.06069585,1.18436192,0.84431249
2550.00000000,1.06580820,1.18518755,0.85025047
2580.00000000,1.07411397,1.18702382,0.85671997
2610.00000000,1.07924200,1.18758165,0.86240582
2640.00000000,1.08266180,1.19205541,0.86345979
2670.00000000,1.08853220,1.19294632,0.86843927
2700.00000000,1.09916006,1.19759641,0.87441705
2730.00000000,1.11719547,1.20576338,0.88428549
2760.00000000,1.12498124,1.21033946,0.88749519
2790.00000000,1.12845024,1.21296937,0.88833428
2820.00000000,1.13251523,1.21330110,0.89206754
2850.00000000,1.14289107,1.22035972,0.89538474
2880.00000000,1.14740924,1.22108615,0.90062936
2910.00000000,1.15047249,1.23155899,0.90803895
2940.00000000,1.15415788,1.24189613,0.91469070
2970.00000000,1.15730387,1.24862635,0.92456691
3000.00000000,1.15788999,1.25660349,0.93313017
3030.00000000,1.16490534,1.26236105,0.94590308
3060.00000000,1.17080555,1.26908646,0.95852870
3090.00000000,1.17837176,1.27414195,0.97115041
3120.00000000,1.18071550,1.28253990,0.98189211
3150.00000000,1.18254877,1.28998251,0.98750144
3180.00000000,1.18950129,1.29034698,0.99408950
3210.00000000,1.19305300,1.29175523,0.99904946
3240.00000000,1.20130447,1.29775709,1.00129908
3270.00000000,1.20737593,1.30324593,1.00188169
3300.00000000,1.20983667,1.30511746,1.00247092
3330.00000000,1.21204527,1.31296844,1.00811330
3360.00000000,1.22303561,1.32888740,1.01304192
3390.00000000,1.22893607,1.33695715,1.01521120
3420.00000000,1.22999251,1.33930986,1.01650748
3450.00000000,1.23703747,1.34774050,1.01789316
3480.00000000,1.24499870,1.35220587,1.02138903
3510.00000000,1.25354856,1.35621628,1.02592847
3540.00000000,1.26049775,1.35930983,1.02978411
3570.00000000,1.26507400,1.36362167,1.03004851
3600.00000000,1.26615952,1.36580874,1.03115005
